Allied Data Corporation,1
Amex,336
Army and Air Force Exchange Service,1
Astoria Bank,1
BBVA Puerto Rico,1
BMO Harris,7
Banco Popular North America,3
Bank of America,423
Barclays,121
Capital One,639
Cavalry Investments; LLC,1
Citibank,813
Comerica,1
Continental Finance Company; LLC,3
Discover,178
Encore Capital Group,3
Equifax,1
Experian,1
Fifth Third Bank,1
First Data Corporation,1
First National Bank of Omaha,20
First Niagara Bank,34
GE Capital Retail,331
HSBC,88
IBERIABANK,2
JPMorgan Chase,559
KeyBank NA,12
Kirschnebaum; Phillips & Roach; P.C.,1
M&T Bank,7
Morgan Stanley,1
Navy FCU,5
New York Community Bank,1
Northland Group; Inc.,2
PNC Bank,5
PayPal,17
Pentagon FCU,5
People's United Bank,1
Portfolio Recovery Associates; Inc.,1
Pressler & Pressler; LLP,1
RBS Citizens,16
RJM Acquisitions LLC,1
Regions,2
Resurgent Capital Services L.P.,2
Santander Bank US,5
Sharinn & Lipshie; P.C.,1
Sovereign Bank,1
Springleaf Finance Corporation,1
SquareTwo Financial Corporation,1
State Farm Bank,3
Sterling Jewelers Inc.,2
Synovus Bank,3
TD Bank,57
TransUnion,3
U.S. Bancorp,42
UMB Bank,1
USAA Savings,13
Universal Fidelity LP,1
Wells Fargo,81
Western Union,1
Zions First National Bank,1
