SD, Credit reporting, 1097402, Incorrect information on credit report, 
SD, Credit reporting, 1093752, Incorrect information on credit report, 
SD, Debt collection, 1091846, Disclosure verification of debt, 
SD, Payday loan, 1079824, Charged bank acct wrong day or amt, 
SD, Credit reporting, 1078639, Credit monitoring or identity protection, 
SD, Consumer loan, 1077510, Problems when you are unable to pay, 
SD, Debt collection, 1075290, Taking/threatening an illegal action, 
SD, Debt collection, 1074337, Cont'd attempts collect debt not owed, 
SD, Debt collection, 1075288, Cont'd attempts collect debt not owed, 
SD, Debt collection, 1075289, Improper contact or sharing of info, 
SD, Debt collection, 1071806, Taking/threatening an illegal action, 
SD, Consumer loan, 1071808, Managing the loan or lease, 
SD, Credit card, 1062657, Credit line increase/decrease, 
SD, Debt collection, 1059803, Cont'd attempts collect debt not owed, 
SD, Student loan, 1051044, Dealing with my lender or servicer, 
SD, Debt collection, 1051202, Communication tactics, 
SD, Debt collection, 1050272, False statements or representation, 
SD, Credit card, 1048084, Closing/Cancelling account, 
SD, Debt collection, 1044034, False statements or representation, 
SD, Debt collection, 1045677, Communication tactics, 
SD, Payday loan, 1042350, Charged bank acct wrong day or amt, 
SD, Debt collection, 1039554, Communication tactics, 
SD, Debt collection, 1039555, Communication tactics, 
SD, Credit reporting, 1039365, Incorrect information on credit report, 
SD, Bank account or service, 1033308, Deposits and withdrawals, 
SD, Consumer loan, 1028966, Managing the loan or lease, 
SD, Credit card, 1029755, Credit determination, 
SD, Credit card, 1023987, Advertising and marketing, 
SD, Credit card, 1021983, Bankruptcy, 
SD, Credit reporting, 1012175, Incorrect information on credit report, 
SD, Credit reporting, 1012174, Incorrect information on credit report, 
SD, Credit reporting, 1012173, Incorrect information on credit report, 
SD, Credit card, 1012848, Advertising and marketing, 
SD, Debt collection, 996016, Communication tactics, 
SD, Student loan, 985823, Dealing with my lender or servicer, 
SD, Debt collection, 985825, Cont'd attempts collect debt not owed, 
SD, Debt collection, 987568, Communication tactics, 
SD, Debt collection, 975329, Taking/threatening an illegal action, 
SD, Credit card, 976037, Billing disputes, 
SD, Consumer loan, 966234, Problems when you are unable to pay, 
SD, Credit reporting, 965156, Incorrect information on credit report, 
SD, Credit reporting, 965155, Incorrect information on credit report, 
SD, Credit reporting, 965157, Incorrect information on credit report, 
SD, Debt collection, 959408, Communication tactics, 
SD, Debt collection, 958191, Cont'd attempts collect debt not owed, 
SD, Credit reporting, 952684, Incorrect information on credit report, 
SD, Mortgage, 950234, Settlement process and costs, 
SD, Debt collection, 951523, False statements or representation, 
SD, Mortgage, 950482, Settlement process and costs, 
SD, Credit reporting, 945084, Incorrect information on credit report, 
SD, Debt collection, 944028, Disclosure verification of debt, 
SD, Credit card, 941659, APR or interest rate, 
SD, Credit reporting, 942140, Incorrect information on credit report, 
SD, Consumer loan, 943207, Managing the loan or lease, 
SD, Bank account or service, 940606, Problems caused by my funds being low, 
SD, Credit card, 938632, Customer service / Customer relations, 
SD, Debt collection, 935236, Communication tactics, 
SD, Debt collection, 929228, Cont'd attempts collect debt not owed, 
SD, Debt collection, 929488, Communication tactics, 
SD, Credit card, 926951, APR or interest rate, 
SD, Credit reporting, 925504, Credit monitoring or identity protection, 
SD, Credit reporting, 924379, Incorrect information on credit report, 
SD, Credit card, 913546, Closing/Cancelling account, 
SD, Credit card, 912141, Other, 
SD, Credit reporting, 904754, Incorrect information on credit report, 
SD, Debt collection, 900189, Improper contact or sharing of info, 
SD, Student loan, 897686, Can't repay my loan, 
SD, Debt collection, 895417, Cont'd attempts collect debt not owed, 
SD, Debt collection, 895418, Cont'd attempts collect debt not owed, 
SD, Debt collection, 893885, Cont'd attempts collect debt not owed, 
SD, Credit card, 893367, Bankruptcy, 
SD, Credit card, 893366, Bankruptcy, 
SD, Debt collection, 890367, Communication tactics, 
SD, Debt collection, 890917, Cont'd attempts collect debt not owed, 
SD, Credit card, 889381, Delinquent account, 
SD, Credit card, 878084, Advertising and marketing, 
SD, Debt collection, 874400, Communication tactics, 
SD, Debt collection, 867848, Cont'd attempts collect debt not owed, 
SD, Credit card, 867874, Billing disputes, 
SD, Money transfers, 866639, Other service issues, 
SD, Credit reporting, 865991, Unable to get credit report/credit score, 
SD, Debt collection, 857659, False statements or representation, 
SD, Consumer loan, 847039, Managing the loan or lease, 
SD, Credit reporting, 846731, Incorrect information on credit report, 
SD, Debt collection, 846507, Communication tactics, 
SD, Debt collection, 843549, Disclosure verification of debt, 
SD, Credit card, 841371, Delinquent account, 
SD, Credit reporting, 842406, Incorrect information on credit report, 
SD, Credit card, 837928, Other fee, 
SD, Payday loan, 834180, Can't contact lender, 
SD, Credit reporting, 822011, Incorrect information on credit report, 
SD, Credit reporting, 812684, Incorrect information on credit report, 
SD, Credit reporting, 812683, Credit reporting company's investigation, 
SD, Credit reporting, 812656, Credit reporting company's investigation, 
