  In progress, 1111412, Credit reporting, 
  Closed with explanation, 1111530, Credit reporting, 
  In progress, 1111484, Credit reporting, 
  Closed with explanation, 1111429, Credit reporting, 
  Closed with non-monetary relief, 1111473, Credit reporting, 
  Closed with non-monetary relief, 1111556, Credit reporting, 
  In progress, 1111753, Credit reporting, 
  Closed with explanation, 1111732, Credit reporting, 
  Closed with explanation, 1112055, Credit reporting, 
  In progress, 1111154, Credit reporting, 
  Closed with explanation, 1111446, Credit reporting, 
  Closed with explanation, 1110394, Credit reporting, 
  Closed with explanation, 1109310, Credit reporting, 
  Closed with explanation, 1109309, Credit reporting, 
  Closed with explanation, 1109795, Credit reporting, 
  Closed with explanation, 1109671, Credit reporting, 
  Closed with explanation, 1109917, Credit reporting, 
  Closed with explanation, 1110728, Credit reporting, 
  Closed with explanation, 1110156, Credit reporting, 
  In progress, 1110646, Credit reporting, 
  Closed with explanation, 1111264, Credit reporting, 
  Closed with explanation, 1110566, Credit reporting, 
  Closed with non-monetary relief, 1109271, Credit reporting, 
  Closed with explanation, 1111293, Credit reporting, 
  Closed with explanation, 1111778, Credit reporting, 
  Closed with explanation, 1110029, Credit reporting, 
  Closed with explanation, 1110069, Credit reporting, 
  Closed with explanation, 1109388, Credit reporting, 
  Closed with explanation, 1109386, Credit reporting, 
  Closed with explanation, 1109351, Credit reporting, 
  Closed with explanation, 1109383, Credit reporting, 
  Closed with explanation, 1109376, Credit reporting, 
  In progress, 1109173, Credit reporting, 
  Closed with explanation, 1109187, Credit reporting, 
  In progress, 1109190, Credit reporting, 
  In progress, 1109152, Credit reporting, 
  In progress, 1109060, Credit reporting, 
  In progress, 1109048, Credit reporting, 
  In progress, 1109206, Credit reporting, 
  Closed with non-monetary relief, 1109091, Credit reporting, 
  Closed with explanation, 1109077, Credit reporting, 
  Closed with non-monetary relief, 1108812, Credit reporting, 
  In progress, 1108827, Credit reporting, 
  Closed with non-monetary relief, 1108859, Credit reporting, 
  Closed with non-monetary relief, 1109088, Credit reporting, 
  Closed with explanation, 1108923, Credit reporting, 
  Closed with explanation, 1108661, Credit reporting, 
  Closed with explanation, 1108378, Credit reporting, 
  Closed with explanation, 1108659, Credit reporting, 
  Closed with explanation, 1108120, Credit reporting, 
  Closed with explanation, 1107686, Credit reporting, 
  Closed with explanation, 1106583, Credit reporting, 
  Closed with explanation, 1106659, Credit reporting, 
  Closed with non-monetary relief, 1108728, Credit reporting, 
  Closed with explanation, 1106608, Credit reporting, 
  In progress, 1107296, Credit reporting, 
  Closed with non-monetary relief, 1108179, Credit reporting, 
  Closed with explanation, 1108394, Credit reporting, 
  Closed with explanation, 1108660, Credit reporting, 
  Closed with explanation, 1108744, Credit reporting, 
  Closed with explanation, 1108733, Credit reporting, 
  Closed with non-monetary relief, 1107150, Credit reporting, 
  In progress, 1107316, Credit reporting, 
  Closed with explanation, 1107171, Credit reporting, 
  In progress, 1107374, Credit reporting, 
  Closed with explanation, 1109045, Credit reporting, 
  Closed with explanation, 1107708, Credit reporting, 
  Closed with non-monetary relief, 1108739, Credit reporting, 
  Closed with non-monetary relief, 1106048, Credit reporting, 
  Closed with non-monetary relief, 1106134, Credit reporting, 
  Closed with explanation, 1106833, Credit reporting, 
  Closed with explanation, 1106678, Credit reporting, 
  Closed with non-monetary relief, 1105380, Credit reporting, 
  Closed with non-monetary relief, 1104603, Credit reporting, 
  Closed with explanation, 1104387, Credit reporting, 
  Closed with explanation, 1106820, Credit reporting, 
  Closed with explanation, 1106800, Credit reporting, 
  Closed with explanation, 1106677, Credit reporting, 
  In progress, 1106679, Credit reporting, 
  In progress, 1105061, Credit reporting, 
  Closed with explanation, 1108238, Credit reporting, 
  Closed with non-monetary relief, 1108208, Credit reporting, 
  In progress, 1108224, Credit reporting, 
  Closed with explanation, 1106050, Credit reporting, 
  In progress, 1105425, Credit reporting, 
  Closed with non-monetary relief, 1106689, Credit reporting, 
  Closed with non-monetary relief, 1106125, Credit reporting, 
  Closed with non-monetary relief, 1106045, Credit reporting, 
