Flagstar Bank, In progress, 1113061, Mortgage, 
Flagstar Bank, In progress, 1106625, Mortgage, 
Flagstar Bank, Closed with explanation, 1107487, Mortgage, 
Flagstar Bank, In progress, 1107509, Mortgage, 
Flagstar Bank, In progress, 1103608, Mortgage, 
Flagstar Bank, Closed with explanation, 1104453, Mortgage, 
Flagstar Bank, In progress, 1103807, Mortgage, 
Flagstar Bank, In progress, 1103666, Mortgage, 
Flagstar Bank, In progress, 1101317, Mortgage, 
Flagstar Bank, In progress, 1100900, Mortgage, 
Flagstar Bank, In progress, 1101757, Mortgage, 
Flagstar Bank, In progress, 1101345, Mortgage, 
Flagstar Bank, In progress, 1098376, Mortgage, 
Flagstar Bank, In progress, 1098302, Mortgage, 
Flagstar Bank, In progress, 1097534, Mortgage, 
Flagstar Bank, In progress, 1097159, Mortgage, 
