 Credit reporting, 1111556, Unable to get credit report/credit score, 
 Credit reporting, 1108728, Unable to get credit report/credit score, 
 Credit reporting, 1102994, Unable to get credit report/credit score, 
 Credit reporting, 1100013, Unable to get credit report/credit score, 
 Debt collection, 1096668, Communication tactics, 
 Credit reporting, 1091384, Improper use of my credit report, 
 Mortgage, 1091385, Credit decision / Underwriting, 
 Credit reporting, 1091382, Improper use of my credit report, 
 Credit reporting, 1091383, Improper use of my credit report, 
 Credit card, 1088146, Customer service / Customer relations, 
 Money transfers, 1086994, Money was not available when promised, 
 Student loan, 1080454, Can't repay my loan, 
 Consumer loan, 1076089, Problems when you are unable to pay, 
 Credit reporting, 1065539, Unable to get credit report/credit score, 
 Debt collection, 1064098, Cont'd attempts collect debt not owed, 
 Credit card, 1054682, Customer service / Customer relations, 
 Debt collection, 1048406, Cont'd attempts collect debt not owed, 
 Credit card, 1041452, Advertising and marketing, 
 Student loan, 1037890, Dealing with my lender or servicer, 
 Credit card, 1035534, Closing/Cancelling account, 
 Debt collection, 1030169, Cont'd attempts collect debt not owed, 
 Credit card, 1027668, APR or interest rate, 
 Credit card, 1025007, Billing disputes, 
 Credit reporting, 1025284, Incorrect information on credit report, 
 Debt collection, 1021972, False statements or representation, 
 Debt collection, 1021973, False statements or representation, 
 Credit card, 1016168, Identity theft / Fraud / Embezzlement, 
 Debt collection, 1008594, Taking/threatening an illegal action, 
 Credit card, 1008441, Customer service / Customer relations, 
 Credit reporting, 1001179, Incorrect information on credit report, 
 Credit reporting, 1001180, Incorrect information on credit report, 
 Credit card, 998535, Rewards, 
 Debt collection, 997597, Communication tactics, 
 Debt collection, 997596, Communication tactics, 
 Debt collection, 995435, Taking/threatening an illegal action, 
 Credit reporting, 992611, Credit monitoring or identity protection, 
 Credit reporting, 958192, Incorrect information on credit report, 
 Credit reporting, 955825, Credit monitoring or identity protection, 
 Bank account or service, 946182, Problems caused by my funds being low, 
 Bank account or service, 944935, Deposits and withdrawals, 
 Bank account or service, 937359, Deposits and withdrawals, 
 Debt collection, 937832, Cont'd attempts collect debt not owed, 
 Credit reporting, 929449, Incorrect information on credit report, 
 Debt collection, 924032, Communication tactics, 
 Debt collection, 920788, Communication tactics, 
 Credit card, 915845, Other fee, 
 Credit card, 913347, Closing/Cancelling account, 
 Credit reporting, 912625, Incorrect information on credit report, 
 Bank account or service, 894683, Using a debit or ATM card, 
 Debt collection, 893718, Cont'd attempts collect debt not owed, 
 Debt collection, 893717, Cont'd attempts collect debt not owed, 
 Credit reporting, 886928, Unable to get credit report/credit score, 
 Bank account or service, 885617, Deposits and withdrawals, 
 Credit reporting, 874047, Credit reporting company's investigation, 
 Credit reporting, 872036, Credit reporting company's investigation, 
 Credit card, 870904, Customer service / Customer relations, 
 Credit reporting, 873505, Incorrect information on credit report, 
 Credit reporting, 865850, Incorrect information on credit report, 
 Debt collection, 860051, Cont'd attempts collect debt not owed, 
 Debt collection, 851306, Communication tactics, 
 Credit reporting, 847015, Unable to get credit report/credit score, 
 Debt collection, 836533, Communication tactics, 
 Debt collection, 829630, Cont'd attempts collect debt not owed, 
 Debt collection, 829629, Cont'd attempts collect debt not owed, 
 Debt collection, 830580, Cont'd attempts collect debt not owed, 
 Debt collection, 827483, Communication tactics, 
 Credit reporting, 819872, Unable to get credit report/credit score, 
 Debt collection, 814792, Disclosure verification of debt, 
 Debt collection, 811570, Communication tactics, 
 Debt collection, 799355, Disclosure verification of debt, 
 Credit card, 789955, Credit determination, 
 Credit reporting, 779352, Improper use of my credit report, 
 Credit reporting, 773599, Incorrect information on credit report, 
 Credit reporting, 773598, Incorrect information on credit report, 
 Credit reporting, 770316, Incorrect information on credit report, 
 Consumer loan, 770492, Shopping for a line of credit, 
 Bank account or service, 763644, Deposits and withdrawals, 
 Credit reporting, 764871, Incorrect information on credit report, 
 Debt collection, 752226, Communication tactics, 
 Debt collection, 749241, Cont'd attempts collect debt not owed, 
 Debt collection, 749242, Cont'd attempts collect debt not owed, 
 Credit card, 744943, APR or interest rate, 
 Mortgage, 741349, Settlement process and costs, 
 Credit reporting, 738926, Unable to get credit report/credit score, 
