 Credit reporting, 1113116, Incorrect information on credit report, 
 Debt collection, 1104467, Cont'd attempts collect debt not owed, 
 Debt collection, 1097264, Communication tactics, 
 Mortgage, 1094981, Settlement process and costs, 
 Credit reporting, 1096001, Incorrect information on credit report, 
 Credit card, 1094923, Rewards, 
 Debt collection, 1094005, Communication tactics, 
 Debt collection, 1092142, Cont'd attempts collect debt not owed, 
 Mortgage, 1091224, Settlement process and costs, 
 Bank account or service, 1092585, Problems caused by my funds being low, 
 Credit card, 1087472, Closing/Cancelling account, 
 Bank account or service, 1087335, Using a debit or ATM card, 
 Debt collection, 1089961, False statements or representation, 
 Debt collection, 1088503, Communication tactics, 
 Credit reporting, 1089973, Incorrect information on credit report, 
 Consumer loan, 1089843, Managing the loan or lease, 
 Credit card, 1086980, Closing/Cancelling account, 
 Credit card, 1086275, Transaction issue, 
 Credit card, 1085697, Other, 
 Bank account or service, 1083571, 
 Bank account or service, 1083974, Problems caused by my funds being low, 
 Mortgage, 1083957, Other, 
 Credit reporting, 1083493, Incorrect information on credit report, 
 Debt collection, 1081443, Cont'd attempts collect debt not owed, 
 Consumer loan, 1082826, Shopping for a loan or lease, 
 Debt collection, 1079170, Disclosure verification of debt, 
 Debt collection, 1079465, Improper contact or sharing of info, 
 Money transfers, 1080744, Money was not available when promised, 
 Mortgage, 1080473, Other, 
 Debt collection, 1079171, Disclosure verification of debt, 
 Credit card, 1077422, Credit line increase/decrease, 
 Credit reporting, 1077861, Incorrect information on credit report, 
 Credit reporting, 1077996, Incorrect information on credit report, 
 Credit reporting, 1077995, Incorrect information on credit report, 
 Debt collection, 1077616, Communication tactics, 
 Credit card, 1078653, Credit line increase/decrease, 
 Bank account or service, 1077296, Deposits and withdrawals, 
 Credit card, 1076974, Other, 
 Student loan, 1076851, Dealing with my lender or servicer, 
 Debt collection, 1075596, Communication tactics, 
 Credit reporting, 1075778, Incorrect information on credit report, 
 Credit reporting, 1075780, Incorrect information on credit report, 
 Credit reporting, 1076443, Credit reporting company's investigation, 
 Credit reporting, 1076158, Incorrect information on credit report, 
 Debt collection, 1075595, Communication tactics, 
 Credit reporting, 1075779, Incorrect information on credit report, 
 Bank account or service, 1073901, Deposits and withdrawals, 
 Credit card, 1073967, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 1076990, Incorrect information on credit report, 
 Consumer loan, 1073477, Managing the loan or lease, 
 Debt collection, 1075196, Cont'd attempts collect debt not owed, 
 Credit card, 1073632, Billing disputes, 
 Bank account or service, 1073565, Deposits and withdrawals, 
 Credit reporting, 1073718, Incorrect information on credit report, 
 Credit reporting, 1075099, Incorrect information on credit report, 
 Credit reporting, 1073102, Incorrect information on credit report, 
 Credit reporting, 1074798, Incorrect information on credit report, 
 Credit card, 1071413, APR or interest rate, 
 Bank account or service, 1072617, Deposits and withdrawals, 
 Debt collection, 1071417, Cont'd attempts collect debt not owed, 
 Credit reporting, 1069742, Incorrect information on credit report, 
 Credit card, 1069854, Payoff process, 
 Consumer loan, 1069358, Managing the loan or lease, 
 Debt collection, 1068690, Cont'd attempts collect debt not owed, 
 Credit card, 1068531, Closing/Cancelling account, 
 Debt collection, 1068566, Communication tactics, 
 Debt collection, 1068567, Communication tactics, 
 Consumer loan, 1068660, Managing the loan or lease, 
 Credit reporting, 1068303, Credit reporting company's investigation, 
 Credit reporting, 1068302, Credit reporting company's investigation, 
 Bank account or service, 1065588, Using a debit or ATM card, 
 Credit reporting, 1062612, Incorrect information on credit report, 
 Consumer loan, 1064024, Managing the loan or lease, 
 Credit card, 1063220, Billing disputes, 
 Debt collection, 1064656, Cont'd attempts collect debt not owed, 
 Debt collection, 1064658, Cont'd attempts collect debt not owed, 
 Debt collection, 1063479, False statements or representation, 
 Credit reporting, 1060710, Unable to get credit report/credit score, 
 Student loan, 1061187, Can't repay my loan, 
 Credit card, 1061615, Balance transfer, 
 Bank account or service, 1060801, Deposits and withdrawals, 
 Debt collection, 1060814, Cont'd attempts collect debt not owed, 
 Credit card, 1058308, Customer service / Customer relations, 
 Credit reporting, 1058332, Unable to get credit report/credit score, 
 Credit reporting, 1058426, Incorrect information on credit report, 
 Credit card, 1057409, Other fee, 
 Credit card, 1057703, Advertising and marketing, 
 Debt collection, 1057755, Communication tactics, 
 Credit card, 1055113, Unsolicited issuance of credit card, 
 Debt collection, 1054422, Taking/threatening an illegal action, 
 Debt collection, 1053098, Improper contact or sharing of info, 
 Debt collection, 1053372, Cont'd attempts collect debt not owed, 
 Debt collection, 1053371, Cont'd attempts collect debt not owed, 
 Debt collection, 1054041, Cont'd attempts collect debt not owed, 
 Debt collection, 1052866, Communication tactics, 
 Debt collection, 1052865, Communication tactics, 
 Credit card, 1051476, Other, 
 Credit reporting, 1051050, Credit reporting company's investigation, 
 Credit card, 1051438, Identity theft / Fraud / Embezzlement, 
 Bank account or service, 1051496, Deposits and withdrawals, 
 Debt collection, 1051588, Improper contact or sharing of info, 
 Debt collection, 1051589, Improper contact or sharing of info, 
 Credit reporting, 1051706, Incorrect information on credit report, 
 Debt collection, 1052407, Communication tactics, 
 Credit card, 1050814, Billing disputes, 
 Debt collection, 1050685, Communication tactics, 
 Credit card, 1050815, Billing disputes, 
 Credit reporting, 1049169, Credit reporting company's investigation, 
 Credit card, 1049163, Other, 
 Credit card, 1049162, Other, 
 Credit reporting, 1049168, Credit reporting company's investigation, 
 Consumer loan, 1049165, Managing the loan or lease, 
 Consumer loan, 1049164, Managing the loan or lease, 
 Credit reporting, 1049167, Credit reporting company's investigation, 
 Credit reporting, 1049166, Credit reporting company's investigation, 
 Credit reporting, 1049171, Credit reporting company's investigation, 
 Credit reporting, 1049705, Incorrect information on credit report, 
 Credit card, 1048245, Delinquent account, 
 Credit card, 1048244, Delinquent account, 
 Credit card, 1048230, Delinquent account, 
 Credit reporting, 1048341, Incorrect information on credit report, 
 Debt collection, 1048066, Cont'd attempts collect debt not owed, 
 Debt collection, 1048096, Communication tactics, 
 Consumer loan, 1047377, Managing the loan or lease, 
 Credit card, 1046254, Transaction issue, 
 Debt collection, 1045722, Cont'd attempts collect debt not owed, 
 Debt collection, 1045721, Cont'd attempts collect debt not owed, 
 Mortgage, 1045757, Other, 
 Debt collection, 1043662, Cont'd attempts collect debt not owed, 
 Debt collection, 1043584, Communication tactics, 
 Debt collection, 1043664, Disclosure verification of debt, 
 Debt collection, 1043663, Disclosure verification of debt, 
 Money transfers, 1040319, Other transaction issues, 
 Credit reporting, 1041190, Unable to get credit report/credit score, 
 Consumer loan, 1041827, Managing the line of credit, 
 Bank account or service, 1041854, Using a debit or ATM card, 
 Student loan, 1044169, Dealing with my lender or servicer, 
 Credit reporting, 1038225, Incorrect information on credit report, 
 Credit reporting, 1038809, Unable to get credit report/credit score, 
 Debt collection, 1037801, Disclosure verification of debt, 
 Student loan, 1036300, Dealing with my lender or servicer, 
 Debt collection, 1036940, Cont'd attempts collect debt not owed, 
 Debt collection, 1036869, Improper contact or sharing of info, 
 Bank account or service, 1035538, Problems caused by my funds being low, 
 Credit reporting, 1035051, Incorrect information on credit report, 
 Debt collection, 1033918, Cont'd attempts collect debt not owed, 
 Consumer loan, 1035441, Shopping for a loan or lease, 
 Debt collection, 1032208, Cont'd attempts collect debt not owed, 
 Debt collection, 1033179, Cont'd attempts collect debt not owed, 
