 Debt collection, 1102612, Cont'd attempts collect debt not owed, 
 Bank account or service, 1097225, Deposits and withdrawals, 
 Credit card, 1095079, Billing statement, 
 Debt collection, 1095084, Disclosure verification of debt, 
 Bank account or service, 1092531, Problems caused by my funds being low, 
 Consumer loan, 1087725, Problems when you are unable to pay, 
 Bank account or service, 1088558, Problems caused by my funds being low, 
 Credit reporting, 1086757, Credit reporting company's investigation, 
 Credit reporting, 1085194, Incorrect information on credit report, 
 Student loan, 1083832, Dealing with my lender or servicer, 
 Credit card, 1081304, Other, 
 Credit reporting, 1079898, Incorrect information on credit report, 
 Credit card, 1079538, Billing disputes, 
 Credit reporting, 1078312, Incorrect information on credit report, 
 Debt collection, 1077110, Improper contact or sharing of info, 
 Debt collection, 1076027, False statements or representation, 
 Student loan, 1073390, Can't repay my loan, 
 Credit card, 1072696, Payoff process, 
 Credit reporting, 1071611, Incorrect information on credit report, 
 Debt collection, 1072464, False statements or representation, 
 Debt collection, 1068516, Disclosure verification of debt, 
 Debt collection, 1068790, Taking/threatening an illegal action, 
 Consumer loan, 1067519, Problems when you are unable to pay, 
 Debt collection, 1064920, Cont'd attempts collect debt not owed, 
 Credit card, 1059638, Transaction issue, 
 Debt collection, 1058412, False statements or representation, 
 Debt collection, 1056466, False statements or representation, 
 Debt collection, 1050926, Disclosure verification of debt, 
 Bank account or service, 1049338, Deposits and withdrawals, 
 Debt collection, 1049810, Cont'd attempts collect debt not owed, 
 Debt collection, 1048397, Cont'd attempts collect debt not owed, 
 Debt collection, 1042407, Disclosure verification of debt, 
 Consumer loan, 1041703, Managing the loan or lease, 
 Credit card, 1040386, Other, 
 Credit reporting, 1040739, Unable to get credit report/credit score, 
 Student loan, 1039656, Dealing with my lender or servicer, 
 Credit card, 1038593, Closing/Cancelling account, 
 Credit card, 1038897, Other, 
 Bank account or service, 1039117, Using a debit or ATM card, 
 Credit card, 1036577, Billing disputes, 
 Credit reporting, 1030697, Credit reporting company's investigation, 
 Credit reporting, 1031393, Unable to get credit report/credit score, 
 Credit card, 1028564, Advertising and marketing, 
 Credit reporting, 1030124, Incorrect information on credit report, 
 Credit reporting, 1030126, Incorrect information on credit report, 
 Credit reporting, 1030125, Incorrect information on credit report, 
 Bank account or service, 1023844, Problems caused by my funds being low, 
 Credit card, 1023842, Other, 
 Credit reporting, 1023838, Incorrect information on credit report, 
 Credit reporting, 1025888, Incorrect information on credit report, 
 Credit card, 1021856, Billing disputes, 
 Debt collection, 1023437, Communication tactics, 
 Credit card, 1020523, Other, 
 Credit card, 1021350, Other, 
 Credit card, 1020904, Billing disputes, 
 Credit reporting, 1019333, Incorrect information on credit report, 
 Debt collection, 1018068, False statements or representation, 
 Credit reporting, 1017730, Incorrect information on credit report, 
 Mortgage, 1017332, Credit decision / Underwriting, 
 Debt collection, 1016334, Disclosure verification of debt, 
 Debt collection, 1013910, False statements or representation, 
 Debt collection, 1013909, False statements or representation, 
 Credit reporting, 1013165, Incorrect information on credit report, 
 Mortgage, 1009633, Credit decision / Underwriting, 
 Credit card, 1011469, Closing/Cancelling account, 
 Credit card, 1008036, Customer service / Customer relations, 
 Credit reporting, 1003260, Incorrect information on credit report, 
 Debt collection, 1000036, Cont'd attempts collect debt not owed, 
 Credit reporting, 997888, Incorrect information on credit report, 
 Payday loan, 995204, Charged fees or interest I didn't expect, 
 Credit card, 993074, APR or interest rate, 
 Student loan, 991081, Can't repay my loan, 
 Debt collection, 991512, Cont'd attempts collect debt not owed, 
 Debt collection, 988667, Improper contact or sharing of info, 
 Credit card, 988784, Other, 
 Bank account or service, 989519, Deposits and withdrawals, 
 Mortgage, 989520, Credit decision / Underwriting, 
 Credit card, 987923, Unsolicited issuance of credit card, 
 Credit reporting, 987659, Unable to get credit report/credit score, 
 Debt collection, 987845, False statements or representation, 
 Credit reporting, 985876, Incorrect information on credit report, 
 Consumer loan, 984471, Problems when you are unable to pay, 
 Debt collection, 981506, Communication tactics, 
 Credit card, 982639, Other, 
 Credit card, 982061, Other, 
 Credit reporting, 977088, Unable to get credit report/credit score, 
 Bank account or service, 976696, Deposits and withdrawals, 
 Debt collection, 972771, Communication tactics, 
 Bank account or service, 974046, Problems caused by my funds being low, 
 Credit reporting, 968805, Incorrect information on credit report, 
 Money transfers, 963094, Other transaction issues, 
 Credit reporting, 963430, Incorrect information on credit report, 
 Debt collection, 961281, Communication tactics, 
 Mortgage, 961491, Settlement process and costs, 
 Bank account or service, 958989, Deposits and withdrawals, 
 Mortgage, 956769, Settlement process and costs, 
 Credit card, 958175, Transaction issue, 
 Debt collection, 957574, Disclosure verification of debt, 
 Consumer loan, 951656, Taking out the loan or lease, 
 Mortgage, 953608, Credit decision / Underwriting, 
 Credit reporting, 950749, Incorrect information on credit report, 
 Credit reporting, 948069, Credit monitoring or identity protection, 
 Payday loan, 947004, Charged fees or interest I didn't expect, 
 Money transfers, 943228, Money was not available when promised, 
 Credit reporting, 943604, Incorrect information on credit report, 
 Debt collection, 944083, False statements or representation, 
 Debt collection, 941460, Cont'd attempts collect debt not owed, 
 Debt collection, 941459, Cont'd attempts collect debt not owed, 
 Consumer loan, 942303, Managing the loan or lease, 
 Student loan, 942688, Dealing with my lender or servicer, 
 Credit reporting, 940673, Credit reporting company's investigation, 
 Mortgage, 940562, Other, 
 Credit reporting, 938600, Credit reporting company's investigation, 
 Debt collection, 937682, Communication tactics, 
 Debt collection, 933067, Cont'd attempts collect debt not owed, 
 Credit card, 933563, Credit line increase/decrease, 
 Student loan, 932789, Can't repay my loan, 
 Bank account or service, 929415, Problems caused by my funds being low, 
 Credit reporting, 927948, Incorrect information on credit report, 
 Credit reporting, 927945, Incorrect information on credit report, 
 Credit reporting, 927944, Incorrect information on credit report, 
 Credit reporting, 927947, Incorrect information on credit report, 
 Credit reporting, 927946, Incorrect information on credit report, 
 Debt collection, 927950, Disclosure verification of debt, 
 Debt collection, 927949, Disclosure verification of debt, 
 Credit reporting, 926618, Incorrect information on credit report, 
 Debt collection, 924154, Disclosure verification of debt, 
 Credit reporting, 918333, Credit reporting company's investigation, 
 Credit reporting, 918853, Incorrect information on credit report, 
 Credit card, 914109, Other, 
 Credit card, 911634, APR or interest rate, 
 Credit reporting, 912073, Incorrect information on credit report, 
 Debt collection, 909596, Disclosure verification of debt, 
 Credit reporting, 909308, Incorrect information on credit report, 
 Credit reporting, 909307, Incorrect information on credit report, 
 Student loan, 909377, Can't repay my loan, 
 Debt collection, 907237, Improper contact or sharing of info, 
 Debt collection, 907238, Improper contact or sharing of info, 
 Student loan, 905495, Dealing with my lender or servicer, 
 Debt collection, 905868, Taking/threatening an illegal action, 
 Debt collection, 905867, Taking/threatening an illegal action, 
 Credit card, 905399, Credit determination, 
 Debt collection, 902209, Cont'd attempts collect debt not owed, 
 Debt collection, 902210, Cont'd attempts collect debt not owed, 
 Debt collection, 902260, Taking/threatening an illegal action, 
 Debt collection, 902259, Taking/threatening an illegal action, 
 Credit card, 901356, Credit card protection / Debt protection, 
 Mortgage, 901467, Other, 
 Payday loan, 901757, Charged fees or interest I didn't expect, 
 Credit card, 897932, Customer service / Customer relations, 
 Student loan, 893013, Dealing with my lender or servicer, 
 Bank account or service, 888519, Problems caused by my funds being low, 
 Credit reporting, 883731, Incorrect information on credit report, 
 Credit reporting, 882327, Incorrect information on credit report, 
 Student loan, 881712, Can't repay my loan, 
 Credit reporting, 881923, Incorrect information on credit report, 
 Credit card, 881924, Billing disputes, 
 Credit reporting, 881962, Incorrect information on credit report, 
 Student loan, 880301, Can't repay my loan, 
 Mortgage, 881315, Credit decision / Underwriting, 
 Credit reporting, 878462, Incorrect information on credit report, 
 Debt collection, 879323, Disclosure verification of debt, 
 Debt collection, 876672, Taking/threatening an illegal action, 
 Credit card, 875828, Payoff process, 
 Credit card, 875227, Closing/Cancelling account, 
 Credit card, 873095, Other, 
 Credit reporting, 871822, Incorrect information on credit report, 
 Credit reporting, 871821, Incorrect information on credit report, 
 Credit reporting, 871819, Incorrect information on credit report, 
 Credit reporting, 871826, Incorrect information on credit report, 
 Credit reporting, 871824, Incorrect information on credit report, 
 Credit reporting, 871827, Incorrect information on credit report, 
 Credit card, 871367, Closing/Cancelling account, 
 Mortgage, 867967, Settlement process and costs, 
 Debt collection, 866364, False statements or representation, 
 Debt collection, 866365, False statements or representation, 
 Credit reporting, 866373, Unable to get credit report/credit score, 
 Bank account or service, 866533, Deposits and withdrawals, 
 Payday loan, 866540, Charged fees or interest I didn't expect, 
 Bank account or service, 866571, Deposits and withdrawals, 
 Student loan, 866936, Dealing with my lender or servicer, 
 Credit reporting, 867416, Incorrect information on credit report, 
 Debt collection, 864199, Communication tactics, 
 Student loan, 858752, Can't repay my loan, 
 Mortgage, 854733, Settlement process and costs, 
 Credit reporting, 846968, Incorrect information on credit report, 
 Credit reporting, 846683, Credit monitoring or identity protection, 
 Credit card, 845627, Convenience checks, 
 Debt collection, 843602, Disclosure verification of debt, 
 Bank account or service, 839914, Problems caused by my funds being low, 
 Debt collection, 834757, Cont'd attempts collect debt not owed, 
 Debt collection, 835381, Cont'd attempts collect debt not owed, 
 Credit card, 833189, Advertising and marketing, 
 Debt collection, 834756, Cont'd attempts collect debt not owed, 
 Credit reporting, 834383, Credit reporting company's investigation, 
 Debt collection, 829845, Disclosure verification of debt, 
 Credit reporting, 830575, Incorrect information on credit report, 
 Credit card, 829052, APR or interest rate, 
 Credit reporting, 827748, Unable to get credit report/credit score, 
 Credit reporting, 826896, Credit reporting company's investigation, 
 Debt collection, 826040, Improper contact or sharing of info, 
 Credit reporting, 826756, Incorrect information on credit report, 
 Student loan, 824459, Dealing with my lender or servicer, 
 Credit reporting, 818827, Credit reporting company's investigation, 
 Payday loan, 818408, Charged fees or interest I didn't expect, 
 Credit card, 818547, Billing disputes, 
 Credit reporting, 817783, Incorrect information on credit report, 
 Bank account or service, 814549, Problems caused by my funds being low, 
 Consumer loan, 814035, Shopping for a loan or lease, 
 Debt collection, 808689, Cont'd attempts collect debt not owed, 
 Credit reporting, 809309, Incorrect information on credit report, 
 Credit reporting, 806973, Credit reporting company's investigation, 
 Credit card, 807580, Transaction issue, 
 Debt collection, 806689, Communication tactics, 
 Debt collection, 806333, Cont'd attempts collect debt not owed, 
 Mortgage, 805544, Settlement process and costs, 
 Student loan, 804369, Getting a loan, 
 Debt collection, 800567, Communication tactics, 
 Debt collection, 798715, False statements or representation, 
 Debt collection, 798714, False statements or representation, 
 Credit reporting, 800160, Incorrect information on credit report, 
 Credit card, 798250, Transaction issue, 
 Debt collection, 791630, Disclosure verification of debt, 
 Mortgage, 792240, Credit decision / Underwriting, 
 Credit card, 792315, Other, 
 Debt collection, 792411, Communication tactics, 
 Mortgage, 789724, Settlement process and costs, 
 Debt collection, 789903, Communication tactics, 
 Credit reporting, 784694, Incorrect information on credit report, 
 Consumer loan, 784894, Problems when you are unable to pay, 
 Credit card, 782825, Identity theft / Fraud / Embezzlement, 
 Credit card, 782836, Credit line increase/decrease, 
 Debt collection, 782975, Cont'd attempts collect debt not owed, 
 Payday loan, 779007, Can't contact lender, 
 Bank account or service, 779081, Deposits and withdrawals, 
 Bank account or service, 779799, Deposits and withdrawals, 
 Credit card, 775896, Payoff process, 
 Student loan, 773637, Can't repay my loan, 
 Debt collection, 773326, Improper contact or sharing of info, 
 Credit reporting, 771671, Incorrect information on credit report, 
 Credit card, 772751, Credit card protection / Debt protection, 
 Debt collection, 769621, Communication tactics, 
 Debt collection, 769964, Communication tactics, 
 Mortgage, 765346, Settlement process and costs, 
 Credit reporting, 765998, Incorrect information on credit report, 
 Bank account or service, 763132, Problems caused by my funds being low, 
 Credit card, 755917, Payoff process, 
 Credit reporting, 755582, Incorrect information on credit report, 
 Credit reporting, 759949, Incorrect information on credit report, 
 Debt collection, 750307, Disclosure verification of debt, 
 Debt collection, 746494, Disclosure verification of debt, 
 Consumer loan, 744534, Taking out the loan or lease, 
 Bank account or service, 741495, Using a debit or ATM card, 
 Credit reporting, 742148, Unable to get credit report/credit score, 
 Credit reporting, 742147, Unable to get credit report/credit score, 
 Consumer loan, 742422, Problems when you are unable to pay, 
 Mortgage, 740341, Other, 
 Credit card, 741603, Billing disputes, 
 Mortgage, 737929, Credit decision / Underwriting, 
 Debt collection, 737963, Communication tactics, 
 Debt collection, 738066, Disclosure verification of debt, 
 Bank account or service, 737171, Problems caused by my funds being low, 
 Debt collection, 737268, Cont'd attempts collect debt not owed, 
 Credit reporting, 737580, Incorrect information on credit report, 
 Debt collection, 737685, Disclosure verification of debt, 
 Credit card, 736100, Unsolicited issuance of credit card, 
 Credit card, 734682, Other fee, 
 Student loan, 734710, Dealing with my lender or servicer, 
 Debt collection, 732428, Improper contact or sharing of info, 
 Debt collection, 732429, Improper contact or sharing of info, 
 Credit reporting, 730741, Credit reporting company's investigation, 
 Credit reporting, 729822, Incorrect information on credit report, 
 Bank account or service, 725197, Problems caused by my funds being low, 
 Consumer loan, 724869, Managing the line of credit, 
 Credit reporting, 724926, Unable to get credit report/credit score, 
 Credit reporting, 727100, Incorrect information on credit report, 
 Debt collection, 717972, Improper contact or sharing of info, 
 Debt collection, 716377, Cont'd attempts collect debt not owed, 
 Consumer loan, 715453, Taking out the loan or lease, 
 Credit reporting, 714712, Incorrect information on credit report, 
 Credit card, 714581, Credit line increase/decrease, 
 Mortgage, 712301, Settlement process and costs, 
 Debt collection, 716702, Communication tactics, 
 Consumer loan, 703675, Managing the loan or lease, 
 Credit card, 704384, Closing/Cancelling account, 
 Credit card, 710514, Closing/Cancelling account, 
 Student loan, 698843, Dealing with my lender or servicer, 
 Consumer loan, 695679, Problems when you are unable to pay, 
 Debt collection, 695682, Communication tactics, 
 Credit card, 695841, Transaction issue, 
 Credit reporting, 694369, Incorrect information on credit report, 
 Debt collection, 695817, Disclosure verification of debt, 
 Payday loan, 696395, Charged fees or interest I didn't expect, 
 Student loan, 692202, Can't repay my loan, 
 Credit card, 692568, Cash advance fee, 
 Credit card, 693980, Identity theft / Fraud / Embezzlement, 
 Debt collection, 692999, Taking/threatening an illegal action, 
 Credit reporting, 690463, Unable to get credit report/credit score, 
 Credit reporting, 687721, Incorrect information on credit report, 
 Debt collection, 687948, Communication tactics, 
 Credit reporting, 687953, Credit reporting company's investigation, 
 Credit reporting, 685685, Incorrect information on credit report, 
 Bank account or service, 685667, Deposits and withdrawals, 
 Credit card, 684001, Delinquent account, 
 Debt collection, 683053, Cont'd attempts collect debt not owed, 
 Student loan, 683216, Dealing with my lender or servicer, 
 Student loan, 679984, Can't repay my loan, 
 Student loan, 679297, Can't repay my loan, 
 Credit reporting, 681794, Incorrect information on credit report, 
 Credit reporting, 681793, Incorrect information on credit report, 
 Debt collection, 678448, Communication tactics, 
 Student loan, 676197, Dealing with my lender or servicer, 
 Bank account or service, 676064, Problems caused by my funds being low, 
 Debt collection, 672581, Taking/threatening an illegal action, 
 Bank account or service, 672696, Deposits and withdrawals, 
 Credit card, 672838, Other, 
 Student loan, 674589, Dealing with my lender or servicer, 
 Credit card, 670308, Balance transfer fee, 
 Debt collection, 671353, Taking/threatening an illegal action, 
 Money transfers, 668515, Fraud or scam, 
 Student loan, 670129, Can't repay my loan, 
 Credit reporting, 665601, Incorrect information on credit report, 
 Bank account or service, 666748, Using a debit or ATM card, 
 Student loan, 665462, Dealing with my lender or servicer, 
 Debt collection, 664713, Cont'd attempts collect debt not owed, 
 Debt collection, 661737, Cont'd attempts collect debt not owed, 
 Credit card, 661873, Billing statement, 
 Credit card, 659474, Credit determination, 
 Credit card, 655743, Identity theft / Fraud / Embezzlement, 
 Credit card, 655987, Advertising and marketing, 
 Bank account or service, 653789, Deposits and withdrawals, 
 Debt collection, 645665, Communication tactics, 
 Debt collection, 645888, Communication tactics, 
 Credit card, 644257, Credit determination, 
 Mortgage, 641316, Other, 
 Credit card, 641331, Unsolicited issuance of credit card, 
 Mortgage, 639533, Credit decision / Underwriting, 
 Credit reporting, 639604, Incorrect information on credit report, 
 Bank account or service, 633727, Deposits and withdrawals, 
 Credit card, 632862, Sale of account, 
 Credit card, 631606, Other, 
 Credit card, 625815, Delinquent account, 
 Consumer loan, 626181, Problems when you are unable to pay, 
 Credit reporting, 626656, Credit reporting company's investigation, 
 Credit card, 626575, Other, 
 Credit reporting, 624816, Credit reporting company's investigation, 
 Student loan, 622513, Repaying your loan, 
 Debt collection, 619630, Cont'd attempts collect debt not owed, 
 Student loan, 615911, Problems when you are unable to pay, 
 Bank account or service, 615739, Deposits and withdrawals, 
 Credit reporting, 612497, Incorrect information on credit report, 
 Credit reporting, 611762, Improper use of my credit report, 
 Credit reporting, 611761, Improper use of my credit report, 
 Debt collection, 610328, Communication tactics, 
 Debt collection, 609691, Communication tactics, 
 Payday loan, 610287, Applied for loan/did not receive money, 
 Debt collection, 606532, Communication tactics, 
 Student loan, 607295, Repaying your loan, 
 Credit reporting, 603748, Incorrect information on credit report, 
 Debt collection, 604122, Disclosure verification of debt, 
 Credit card, 601337, Advertising and marketing, 
 Credit reporting, 599509, Credit monitoring or identity protection, 
 Debt collection, 593006, Communication tactics, 
 Credit card, 593079, Billing disputes, 
 Credit card, 592941, Transaction issue, 
 Bank account or service, 592753, Problems caused by my funds being low, 
 Bank account or service, 592531, Deposits and withdrawals, 
 Debt collection, 592557, Taking/threatening an illegal action, 
 Consumer loan, 591484, Problems when you are unable to pay, 
 Payday loan, 591608, Charged fees or interest I didn't expect, 
 Credit card, 587236, Rewards, 
 Consumer loan, 588001, Managing the line of credit, 
 Debt collection, 588002, False statements or representation, 
 Bank account or service, 588505, Using a debit or ATM card, 
 Credit card, 585999, Closing/Cancelling account, 
 Credit card, 586519, Credit line increase/decrease, 
 Credit card, 587098, Billing statement, 
 Debt collection, 585559, Taking/threatening an illegal action, 
 Debt collection, 584629, Taking/threatening an illegal action, 
 Credit reporting, 582554, Incorrect information on credit report, 
 Debt collection, 581904, Cont'd attempts collect debt not owed, 
 Consumer loan, 578513, Problems when you are unable to pay, 
 Credit reporting, 571245, Credit reporting company's investigation, 
 Bank account or service, 571444, Deposits and withdrawals, 
 Credit card, 569686, Delinquent account, 
 Debt collection, 565372, Cont'd attempts collect debt not owed, 
 Student loan, 564559, Repaying your loan, 
 Credit card, 561042, Billing statement, 
 Credit reporting, 560660, Unable to get credit report/credit score, 
 Bank account or service, 560591, Problems caused by my funds being low, 
 Student loan, 560015, Repaying your loan, 
 Credit reporting, 558384, Unable to get credit report/credit score, 
 Student loan, 558306, Repaying your loan, 
 Debt collection, 550432, Disclosure verification of debt, 
 Debt collection, 550431, Disclosure verification of debt, 
 Debt collection, 546658, Cont'd attempts collect debt not owed, 
 Credit reporting, 546531, Credit monitoring or identity protection, 
 Debt collection, 541771, False statements or representation, 
 Bank account or service, 540131, Problems caused by my funds being low, 
 Debt collection, 537146, Cont'd attempts collect debt not owed, 
 Credit card, 535745, APR or interest rate, 
 Debt collection, 530688, Communication tactics, 
 Credit card, 526436, Arbitration, 
 Bank account or service, 525618, Deposits and withdrawals, 
 Bank account or service, 527134, Problems caused by my funds being low, 
 Credit reporting, 521411, Incorrect information on credit report, 
 Credit card, 517829, Other, 
 Mortgage, 508034, Other, 
 Credit card, 503822, Customer service / Customer relations, 
 Credit card, 502075, Payoff process, 
 Student loan, 499466, Repaying your loan, 
 Debt collection, 496728, Improper contact or sharing of info, 
 Debt collection, 496729, Improper contact or sharing of info, 
 Bank account or service, 489581, Problems caused by my funds being low, 
 Credit card, 491873, Unsolicited issuance of credit card, 
 Credit reporting, 488323, Credit reporting company's investigation, 
 Credit reporting, 483647, Incorrect information on credit report, 
 Debt collection, 484872, Communication tactics, 
