 Debt collection, 1112733, Communication tactics, 
 Credit reporting, 1111284, Incorrect information on credit report, 
 Credit reporting, 1111778, Incorrect information on credit report, 
 Credit reporting, 1109375, Incorrect information on credit report, 
 Debt collection, 1109233, Disclosure verification of debt, 
 Debt collection, 1108190, Disclosure verification of debt, 
 Debt collection, 1106695, Communication tactics, 
 Credit reporting, 1106694, Unable to get credit report/credit score, 
 Credit reporting, 1106031, Incorrect information on credit report, 
 Credit reporting, 1106030, Incorrect information on credit report, 
 Credit reporting, 1106029, Incorrect information on credit report, 
 Credit card, 1101490, Other, 
 Credit reporting, 1100149, Incorrect information on credit report, 
 Debt collection, 1099561, Cont'd attempts collect debt not owed, 
 Debt collection, 1098802, Improper contact or sharing of info, 
 Payday loan, 1098809, Applied for loan/did not receive money, 
 Debt collection, 1098543, Taking/threatening an illegal action, 
 Credit reporting, 1097650, Incorrect information on credit report, 
 Credit reporting, 1097639, Incorrect information on credit report, 
 Credit reporting, 1097649, Incorrect information on credit report, 
 Debt collection, 1097318, Disclosure verification of debt, 
 Student loan, 1097513, Can't repay my loan, 
 Credit card, 1097396, Closing/Cancelling account, 
 Credit reporting, 1093663, Incorrect information on credit report, 
 Bank account or service, 1094443, Deposits and withdrawals, 
 Credit reporting, 1094371, Unable to get credit report/credit score, 
 Credit reporting, 1094370, Unable to get credit report/credit score, 
 Debt collection, 1094414, Cont'd attempts collect debt not owed, 
 Credit card, 1092783, Delinquent account, 
 Credit reporting, 1092782, Incorrect information on credit report, 
 Credit reporting, 1092542, Incorrect information on credit report, 
 Credit card, 1092299, Other, 
 Student loan, 1087349, Dealing with my lender or servicer, 
 Consumer loan, 1087612, Managing the loan or lease, 
 Credit reporting, 1087581, Credit monitoring or identity protection, 
 Credit reporting, 1087996, Unable to get credit report/credit score, 
 Credit card, 1088486, Late fee, 
 Consumer loan, 1089455, Managing the loan or lease, 
 Debt collection, 1091004, Cont'd attempts collect debt not owed, 
 Credit card, 1086850, Transaction issue, 
 Debt collection, 1085845, Disclosure verification of debt, 
 Bank account or service, 1085924, Using a debit or ATM card, 
 Debt collection, 1085846, Disclosure verification of debt, 
 Student loan, 1086713, Can't repay my loan, 
 Credit card, 1086699, Credit line increase/decrease, 
 Credit card, 1084517, Advertising and marketing, 
 Credit reporting, 1084436, Incorrect information on credit report, 
 Credit card, 1085271, Advertising and marketing, 
 Consumer loan, 1083894, Taking out the loan or lease, 
 Debt collection, 1082480, Cont'd attempts collect debt not owed, 
 Bank account or service, 1082284, Deposits and withdrawals, 
 Debt collection, 1082292, Cont'd attempts collect debt not owed, 
 Credit reporting, 1081233, Unable to get credit report/credit score, 
 Debt collection, 1083539, Disclosure verification of debt, 
 Debt collection, 1082293, Cont'd attempts collect debt not owed, 
 Credit reporting, 1079279, Incorrect information on credit report, 
 Credit reporting, 1080465, Improper use of my credit report, 
 Credit reporting, 1079459, Incorrect information on credit report, 
 Credit reporting, 1080827, Incorrect information on credit report, 
 Credit card, 1079545, Credit card protection / Debt protection, 
 Consumer loan, 1077523, Problems when you are unable to pay, 
 Credit reporting, 1079226, Credit reporting company's investigation, 
 Credit card, 1077635, Closing/Cancelling account, 
 Credit reporting, 1078716, Incorrect information on credit report, 
 Bank account or service, 1077026, Deposits and withdrawals, 
 Debt collection, 1077021, Disclosure verification of debt, 
 Debt collection, 1076864, Cont'd attempts collect debt not owed, 
 Credit reporting, 1075305, Incorrect information on credit report, 
 Credit card, 1076780, Billing disputes, 
 Student loan, 1076081, Dealing with my lender or servicer, 
 Credit card, 1073300, Other, 
 Credit card, 1075294, Other, 
 Credit reporting, 1073293, Unable to get credit report/credit score, 
 Credit reporting, 1075199, Incorrect information on credit report, 
 Debt collection, 1072432, Disclosure verification of debt, 
 Student loan, 1071316, Dealing with my lender or servicer, 
 Student loan, 1071322, Can't repay my loan, 
 Credit reporting, 1072680, Incorrect information on credit report, 
 Debt collection, 1070584, Cont'd attempts collect debt not owed, 
 Debt collection, 1071309, Communication tactics, 
 Credit reporting, 1071258, Credit reporting company's investigation, 
 Debt collection, 1071292, Cont'd attempts collect debt not owed, 
 Credit reporting, 1070709, Incorrect information on credit report, 
 Debt collection, 1070497, False statements or representation, 
 Bank account or service, 1069749, Deposits and withdrawals, 
 Credit reporting, 1070714, Incorrect information on credit report, 
 Debt collection, 1069335, Taking/threatening an illegal action, 
 Credit reporting, 1071294, Incorrect information on credit report, 
 Credit reporting, 1070712, Incorrect information on credit report, 
 Credit reporting, 1070711, Incorrect information on credit report, 
 Credit reporting, 1070336, Incorrect information on credit report, 
 Credit reporting, 1070001, Credit monitoring or identity protection, 
 Debt collection, 1068761, False statements or representation, 
 Credit reporting, 1068913, Incorrect information on credit report, 
 Debt collection, 1068734, Improper contact or sharing of info, 
 Credit card, 1068528, Other, 
 Debt collection, 1069205, Communication tactics, 
 Bank account or service, 1068437, Problems caused by my funds being low, 
 Credit card, 1068130, Closing/Cancelling account, 
 Debt collection, 1068185, Improper contact or sharing of info, 
 Bank account or service, 1068143, Problems caused by my funds being low, 
 Credit reporting, 1068253, Improper use of my credit report, 
 Debt collection, 1067518, Communication tactics, 
 Debt collection, 1067329, Cont'd attempts collect debt not owed, 
 Consumer loan, 1067766, Managing the loan or lease, 
 Consumer loan, 1067767, Managing the loan or lease, 
 Credit reporting, 1067180, Credit reporting company's investigation, 
 Student loan, 1065108, Dealing with my lender or servicer, 
 Debt collection, 1065382, Cont'd attempts collect debt not owed, 
 Credit reporting, 1065955, Incorrect information on credit report, 
 Payday loan, 1065779, Charged fees or interest I didn't expect, 
 Debt collection, 1065636, Communication tactics, 
 Credit reporting, 1065063, Unable to get credit report/credit score, 
 Credit reporting, 1064667, Incorrect information on credit report, 
 Credit reporting, 1064579, Incorrect information on credit report, 
 Bank account or service, 1063967, Deposits and withdrawals, 
 Bank account or service, 1061972, Deposits and withdrawals, 
 Credit reporting, 1060653, Incorrect information on credit report, 
 Credit reporting, 1060651, Incorrect information on credit report, 
 Debt collection, 1061232, Cont'd attempts collect debt not owed, 
 Credit card, 1062872, Transaction issue, 
 Debt collection, 1060894, Improper contact or sharing of info, 
 Money transfers, 1061311, Fraud or scam, 
 Credit reporting, 1060652, Incorrect information on credit report, 
 Credit card, 1061212, Transaction issue, 
 Bank account or service, 1060599, Deposits and withdrawals, 
 Debt collection, 1059906, Taking/threatening an illegal action, 
 Debt collection, 1060067, Cont'd attempts collect debt not owed, 
 Debt collection, 1060102, Disclosure verification of debt, 
 Credit reporting, 1060822, Incorrect information on credit report, 
 Credit reporting, 1060823, Incorrect information on credit report, 
 Credit card, 1060825, Other, 
 Credit card, 1060870, Billing disputes, 
 Student loan, 1058817, Can't repay my loan, 
 Bank account or service, 1058387, Deposits and withdrawals, 
 Consumer loan, 1058469, Problems when you are unable to pay, 
 Credit card, 1058498, Advertising and marketing, 
 Debt collection, 1056430, Communication tactics, 
 Mortgage, 1056481, Settlement process and costs, 
 Credit card, 1057385, Arbitration, 
 Credit reporting, 1057323, Incorrect information on credit report, 
 Credit reporting, 1057520, Incorrect information on credit report, 
 Credit reporting, 1057619, Incorrect information on credit report, 
 Debt collection, 1057762, Taking/threatening an illegal action, 
 Mortgage, 1055234, Other, 
 Student loan, 1055383, Can't repay my loan, 
 Credit reporting, 1054712, Incorrect information on credit report, 
 Credit reporting, 1057838, Incorrect information on credit report, 
 Mortgage, 1056065, Settlement process and costs, 
 Credit card, 1052507, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 1054650, Unable to get credit report/credit score, 
 Money transfers, 1050994, Fraud or scam, 
 Debt collection, 1051326, Disclosure verification of debt, 
 Debt collection, 1051558, Cont'd attempts collect debt not owed, 
 Credit reporting, 1051840, Incorrect information on credit report, 
 Credit reporting, 1051838, Incorrect information on credit report, 
 Debt collection, 1051908, Communication tactics, 
 Credit reporting, 1052081, Credit monitoring or identity protection, 
 Credit reporting, 1052083, Credit monitoring or identity protection, 
 Credit reporting, 1052082, Credit monitoring or identity protection, 
 Credit card, 1049215, Credit determination, 
 Bank account or service, 1049328, Deposits and withdrawals, 
 Mortgage, 1049632, Credit decision / Underwriting, 
 Debt collection, 1049712, False statements or representation, 
 Debt collection, 1049711, False statements or representation, 
 Credit card, 1050758, Identity theft / Fraud / Embezzlement, 
 Debt collection, 1048357, Improper contact or sharing of info, 
 Debt collection, 1048401, Cont'd attempts collect debt not owed, 
 Credit card, 1048135, Identity theft / Fraud / Embezzlement, 
 Mortgage, 1048132, Credit decision / Underwriting, 
 Credit reporting, 1046950, Unable to get credit report/credit score, 
 Consumer loan, 1047314, Problems when you are unable to pay, 
 Consumer loan, 1047554, Problems when you are unable to pay, 
 Credit reporting, 1048019, Incorrect information on credit report, 
 Credit card, 1045263, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 1045410, Unable to get credit report/credit score, 
 Credit card, 1045458, Billing statement, 
 Credit reporting, 1045814, Unable to get credit report/credit score, 
 Credit reporting, 1045889, Incorrect information on credit report, 
 Consumer loan, 1045892, Managing the loan or lease, 
 Credit reporting, 1045891, Incorrect information on credit report, 
 Credit reporting, 1045890, Incorrect information on credit report, 
 Consumer loan, 1045893, Managing the loan or lease, 
 Debt collection, 1044538, Cont'd attempts collect debt not owed, 
 Mortgage, 1046457, Settlement process and costs, 
 Consumer loan, 1044578, Managing the loan or lease, 
