 Credit reporting, 1114110, Incorrect information on credit report, 
 Credit reporting, 1109077, Incorrect information on credit report, 
 Debt collection, 1103791, Communication tactics, 
 Debt collection, 1102901, Communication tactics, 
 Bank account or service, 1099095, Using a debit or ATM card, 
 Credit reporting, 1099398, Incorrect information on credit report, 
 Credit reporting, 1099397, Incorrect information on credit report, 
 Debt collection, 1099330, Cont'd attempts collect debt not owed, 
 Credit reporting, 1099399, Incorrect information on credit report, 
 Consumer loan, 1098155, Taking out the loan or lease, 
 Bank account or service, 1097664, Using a debit or ATM card, 
 Credit card, 1096375, Credit determination, 
 Debt collection, 1094377, Disclosure verification of debt, 
 Student loan, 1094211, Dealing with my lender or servicer, 
 Consumer loan, 1091236, Managing the loan or lease, 
 Consumer loan, 1091234, Managing the loan or lease, 
 Debt collection, 1091214, False statements or representation, 
 Payday loan, 1091411, Received a loan I didn't apply for, 
 Consumer loan, 1091789, Managing the loan or lease, 
 Consumer loan, 1091237, Managing the loan or lease, 
 Consumer loan, 1091253, Managing the loan or lease, 
 Credit reporting, 1087463, Unable to get credit report/credit score, 
 Credit reporting, 1088807, Credit reporting company's investigation, 
 Debt collection, 1087438, Taking/threatening an illegal action, 
 Debt collection, 1087929, Cont'd attempts collect debt not owed, 
 Debt collection, 1089406, False statements or representation, 
 Credit reporting, 1086833, Incorrect information on credit report, 
 Student loan, 1086879, Dealing with my lender or servicer, 
 Bank account or service, 1085173, Using a debit or ATM card, 
 Debt collection, 1083302, Cont'd attempts collect debt not owed, 
 Bank account or service, 1083416, Using a debit or ATM card, 
 Bank account or service, 1083265, Deposits and withdrawals, 
 Credit card, 1082269, Unsolicited issuance of credit card, 
 Consumer loan, 1081928, Taking out the loan or lease, 
 Bank account or service, 1081331, Problems caused by my funds being low, 
 Consumer loan, 1081364, Problems when you are unable to pay, 
 Debt collection, 1081776, Taking/threatening an illegal action, 
 Debt collection, 1081975, Improper contact or sharing of info, 
 Consumer loan, 1081363, Problems when you are unable to pay, 
 Credit reporting, 1079439, Incorrect information on credit report, 
 Money transfers, 1077338, Other service issues, 
 Credit reporting, 1078456, Incorrect information on credit report, 
 Credit reporting, 1078580, Incorrect information on credit report, 
 Credit reporting, 1078582, Incorrect information on credit report, 
 Debt collection, 1077487, Disclosure verification of debt, 
 Credit reporting, 1078255, Credit reporting company's investigation, 
 Credit card, 1078465, Advertising and marketing, 
 Payday loan, 1076902, Payment to acct not credited, 
 Debt collection, 1073433, Improper contact or sharing of info, 
 Payday loan, 1075255, Can't contact lender, 
 Mortgage, 1073526, Credit decision / Underwriting, 
 Credit reporting, 1073075, Incorrect information on credit report, 
 Credit reporting, 1071140, Incorrect information on credit report, 
 Credit reporting, 1071462, Incorrect information on credit report, 
 Mortgage, 1071264, Settlement process and costs, 
 Credit reporting, 1069774, Credit monitoring or identity protection, 
 Credit reporting, 1070733, Incorrect information on credit report, 
 Credit reporting, 1069203, Incorrect information on credit report, 
 Consumer loan, 1070041, Managing the loan or lease, 
 Consumer loan, 1068585, Managing the loan or lease, 
 Credit reporting, 1068632, Credit reporting company's investigation, 
 Debt collection, 1068422, Cont'd attempts collect debt not owed, 
 Credit reporting, 1068139, Unable to get credit report/credit score, 
 Credit card, 1068136, Convenience checks, 
 Debt collection, 1068081, Disclosure verification of debt, 
 Consumer loan, 1066271, Problems when you are unable to pay, 
 Bank account or service, 1067113, Problems caused by my funds being low, 
 Debt collection, 1068080, Disclosure verification of debt, 
 Debt collection, 1066381, Cont'd attempts collect debt not owed, 
 Debt collection, 1064941, False statements or representation, 
 Consumer loan, 1065791, Taking out the loan or lease, 
 Credit card, 1065819, Customer service / Customer relations, 
 Debt collection, 1064942, False statements or representation, 
 Debt collection, 1062754, Disclosure verification of debt, 
 Credit reporting, 1062755, Incorrect information on credit report, 
 Debt collection, 1063854, Communication tactics, 
 Credit reporting, 1060749, Incorrect information on credit report, 
 Credit reporting, 1060682, Incorrect information on credit report, 
 Bank account or service, 1062760, Problems caused by my funds being low, 
 Consumer loan, 1062109, Shopping for a loan or lease, 
 Credit card, 1058821, Identity theft / Fraud / Embezzlement, 
 Debt collection, 1058190, Cont'd attempts collect debt not owed, 
 Debt collection, 1057267, Improper contact or sharing of info, 
 Debt collection, 1057660, Disclosure verification of debt, 
 Debt collection, 1055073, Taking/threatening an illegal action, 
 Debt collection, 1055074, Taking/threatening an illegal action, 
 Credit reporting, 1055111, Incorrect information on credit report, 
 Credit reporting, 1054600, Incorrect information on credit report, 
 Consumer loan, 1053419, Taking out the loan or lease, 
