 Debt collection, 1111456, Cont'd attempts collect debt not owed, 
 Consumer loan, 1100143, Taking out the loan or lease, 
 Debt collection, 1095596, Communication tactics, 
 Student loan, 1095386, Can't repay my loan, 
 Credit card, 1094449, APR or interest rate, 
 Debt collection, 1087065, Cont'd attempts collect debt not owed, 
 Debt collection, 1087062, Cont'd attempts collect debt not owed, 
 Debt collection, 1086780, Communication tactics, 
 Student loan, 1085363, Dealing with my lender or servicer, 
 Bank account or service, 1083099, Deposits and withdrawals, 
 Debt collection, 1083441, Disclosure verification of debt, 
 Student loan, 1082094, Dealing with my lender or servicer, 
 Consumer loan, 1082341, Managing the loan or lease, 
 Mortgage, 1082664, Settlement process and costs, 
 Credit card, 1081232, Customer service / Customer relations, 
 Debt collection, 1082154, False statements or representation, 
 Consumer loan, 1079308, Managing the loan or lease, 
 Debt collection, 1080604, Cont'd attempts collect debt not owed, 
 Credit card, 1080308, Credit card protection / Debt protection, 
 Consumer loan, 1081496, Managing the loan or lease, 
 Debt collection, 1077969, Improper contact or sharing of info, 
 Bank account or service, 1077881, Deposits and withdrawals, 
 Mortgage, 1078636, Credit decision / Underwriting, 
 Consumer loan, 1075714, Problems when you are unable to pay, 
 Debt collection, 1073422, Cont'd attempts collect debt not owed, 
 Payday loan, 1070999, Can't contact lender, 
 Credit card, 1068822, Identity theft / Fraud / Embezzlement, 
 Credit card, 1068357, Rewards, 
 Credit card, 1068358, Rewards, 
 Debt collection, 1065147, Improper contact or sharing of info, 
 Credit reporting, 1065465, Incorrect information on credit report, 
 Credit card, 1062838, Payoff process, 
 Debt collection, 1062779, Disclosure verification of debt, 
 Credit card, 1059401, Late fee, 
 Credit reporting, 1054794, Incorrect information on credit report, 
 Credit card, 1055226, Delinquent account, 
 Debt collection, 1056661, Taking/threatening an illegal action, 
 Debt collection, 1056662, Taking/threatening an illegal action, 
 Debt collection, 1056113, Disclosure verification of debt, 
 Mortgage, 1054415, Settlement process and costs, 
 Consumer loan, 1051519, Managing the loan or lease, 
 Bank account or service, 1048869, Using a debit or ATM card, 
 Credit reporting, 1048164, Incorrect information on credit report, 
 Debt collection, 1047728, Communication tactics, 
 Consumer loan, 1048023, Managing the loan or lease, 
 Credit reporting, 1046548, Incorrect information on credit report, 
 Credit card, 1043635, Transaction issue, 
 Credit reporting, 1038035, Incorrect information on credit report, 
