 Consumer loan, 993740, Problems when you are unable to pay, 
 Credit reporting, 953828, Credit monitoring or identity protection, 
 Credit reporting, 930752, Incorrect information on credit report, 
 Consumer loan, 923529, Taking out the loan or lease, 
 Credit reporting, 910075, Unable to get credit report/credit score, 
 Student loan, 853465, Dealing with my lender or servicer, 
 Debt collection, 786663, Cont'd attempts collect debt not owed, 
 Money transfers, 723618, Other transaction issues, 
 Credit card, 712415, Closing/Cancelling account, 
 Debt collection, 589515, Improper contact or sharing of info, 
 Mortgage, 508859, Credit decision / Underwriting, 
 Credit card, 429111, Application processing delay, 
 Credit card, 225165, Closing/Cancelling account, 
 Credit card, 173319, Credit reporting, 
 Mortgage, 130381, Settlement process and costs, 
 Credit card, 99984, APR or interest rate, 
 Mortgage, 44071, Other, 
