 Debt collection, 1104629, Cont'd attempts collect debt not owed, 
 Credit reporting, 1101892, Incorrect information on credit report, 
 Debt collection, 1097468, Disclosure verification of debt, 
 Credit card, 1097467, Delinquent account, 
 Student loan, 1093824, Can't repay my loan, 
 Credit card, 1092075, Delinquent account, 
 Credit card, 1088412, Balance transfer, 
 Credit reporting, 1088700, Incorrect information on credit report, 
 Credit card, 1088189, Customer service / Customer relations, 
 Credit card, 1089908, Billing disputes, 
 Student loan, 1086755, Getting a loan, 
 Mortgage, 1084947, Credit decision / Underwriting, 
 Credit reporting, 1083838, Incorrect information on credit report, 
 Credit reporting, 1080234, Credit reporting company's investigation, 
 Debt collection, 1079526, Improper contact or sharing of info, 
 Credit card, 1078501, Delinquent account, 
 Debt collection, 1077024, Communication tactics, 
 Credit card, 1075733, Credit card protection / Debt protection, 
 Credit reporting, 1071900, Incorrect information on credit report, 
 Credit reporting, 1071901, Incorrect information on credit report, 
 Credit reporting, 1071902, Incorrect information on credit report, 
 Debt collection, 1072740, Disclosure verification of debt, 
 Credit card, 1072742, Delinquent account, 
 Credit card, 1072741, Delinquent account, 
 Debt collection, 1070558, Communication tactics, 
 Debt collection, 1062813, Improper contact or sharing of info, 
 Student loan, 1063862, Can't repay my loan, 
 Debt collection, 1063144, Cont'd attempts collect debt not owed, 
 Bank account or service, 1064008, Problems caused by my funds being low, 
 Credit card, 1063910, Late fee, 
 Consumer loan, 1061016, Taking out the loan or lease, 
 Debt collection, 1062088, Disclosure verification of debt, 
 Credit card, 1056905, Other, 
 Payday loan, 1057512, Charged fees or interest I didn't expect, 
 Student loan, 1055896, Can't repay my loan, 
 Credit reporting, 1054965, Incorrect information on credit report, 
 Credit reporting, 1050992, Unable to get credit report/credit score, 
 Debt collection, 1052172, Cont'd attempts collect debt not owed, 
 Credit card, 1049941, Late fee, 
 Bank account or service, 1046990, Problems caused by my funds being low, 
 Debt collection, 1047549, Cont'd attempts collect debt not owed, 
 Student loan, 1046492, Can't repay my loan, 
 Debt collection, 1046526, Communication tactics, 
 Student loan, 1044191, Dealing with my lender or servicer, 
 Credit card, 1042756, Delinquent account, 
 Debt collection, 1040389, Cont'd attempts collect debt not owed, 
 Credit reporting, 1039941, Incorrect information on credit report, 
 Credit reporting, 1039940, Incorrect information on credit report, 
 Consumer loan, 1036135, Managing the loan or lease, 
 Credit card, 1034594, Closing/Cancelling account, 
 Credit card, 1035665, Other fee, 
 Debt collection, 1032578, Cont'd attempts collect debt not owed, 
 Debt collection, 1028513, Communication tactics, 
 Debt collection, 1030157, False statements or representation, 
 Debt collection, 1030156, False statements or representation, 
 Credit card, 1027968, Billing disputes, 
 Credit card, 1028027, Transaction issue, 
 Money transfers, 1027773, Money was not available when promised, 
 Credit card, 1026407, Other, 
 Consumer loan, 1025280, Managing the loan or lease, 
 Payday loan, 1022925, Can't contact lender, 
 Credit reporting, 1024014, Improper use of my credit report, 
 Debt collection, 1018381, Communication tactics, 
 Credit reporting, 1014815, Incorrect information on credit report, 
 Debt collection, 1010760, False statements or representation, 
 Debt collection, 1007249, Cont'd attempts collect debt not owed, 
 Credit card, 1002112, APR or interest rate, 
 Debt collection, 1001546, Cont'd attempts collect debt not owed, 
 Debt collection, 998409, Cont'd attempts collect debt not owed, 
 Payday loan, 997270, Can't contact lender, 
 Credit reporting, 997370, Incorrect information on credit report, 
 Credit reporting, 995429, Credit reporting company's investigation, 
 Credit reporting, 995428, Credit reporting company's investigation, 
 Credit reporting, 996602, Credit reporting company's investigation, 
 Debt collection, 996702, Disclosure verification of debt, 
 Debt collection, 993903, Taking/threatening an illegal action, 
 Bank account or service, 992202, Using a debit or ATM card, 
 Consumer loan, 991087, Managing the loan or lease, 
 Debt collection, 989567, Taking/threatening an illegal action, 
 Bank account or service, 989615, Problems caused by my funds being low, 
 Debt collection, 987971, Cont'd attempts collect debt not owed, 
 Credit card, 986463, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 984974, Unable to get credit report/credit score, 
 Credit card, 983771, Other, 
 Payday loan, 985201, Can't contact lender, 
 Bank account or service, 982966, Problems caused by my funds being low, 
 Student loan, 983044, Dealing with my lender or servicer, 
 Debt collection, 981847, Disclosure verification of debt, 
 Debt collection, 981846, Disclosure verification of debt, 
 Credit card, 975242, Billing disputes, 
 Credit reporting, 976231, Incorrect information on credit report, 
 Credit reporting, 974067, Incorrect information on credit report, 
 Debt collection, 972931, Cont'd attempts collect debt not owed, 
 Debt collection, 972930, Cont'd attempts collect debt not owed, 
 Student loan, 972962, Can't repay my loan, 
 Credit reporting, 974859, Incorrect information on credit report, 
 Debt collection, 975143, Cont'd attempts collect debt not owed, 
 Credit card, 970989, Credit card protection / Debt protection, 
 Credit reporting, 973088, Incorrect information on credit report, 
 Student loan, 969014, Dealing with my lender or servicer, 
 Payday loan, 968773, Applied for loan/did not receive money, 
 Credit card, 966762, Closing/Cancelling account, 
 Credit card, 966761, Closing/Cancelling account, 
 Debt collection, 967406, Cont'd attempts collect debt not owed, 
 Credit reporting, 966168, Credit monitoring or identity protection, 
 Debt collection, 965757, Cont'd attempts collect debt not owed, 
 Payday loan, 963007, Received a loan I didn't apply for, 
 Debt collection, 963523, False statements or representation, 
 Credit reporting, 962031, Unable to get credit report/credit score, 
 Credit card, 962022, Customer service / Customer relations, 
 Credit reporting, 961511, Incorrect information on credit report, 
 Credit reporting, 958757, Credit monitoring or identity protection, 
 Debt collection, 958336, Communication tactics, 
 Credit reporting, 960122, Incorrect information on credit report, 
 Debt collection, 959328, Disclosure verification of debt, 
 Debt collection, 959376, Cont'd attempts collect debt not owed, 
 Credit card, 956391, Closing/Cancelling account, 
 Debt collection, 956909, Communication tactics, 
 Payday loan, 958219, Can't stop charges to bank account, 
 Bank account or service, 955467, Problems caused by my funds being low, 
 Debt collection, 954916, Improper contact or sharing of info, 
 Student loan, 950159, Dealing with my lender or servicer, 
 Consumer loan, 948504, Managing the loan or lease, 
 Debt collection, 948647, Improper contact or sharing of info, 
 Debt collection, 942581, Cont'd attempts collect debt not owed, 
 Debt collection, 937238, Cont'd attempts collect debt not owed, 
 Student loan, 938065, Dealing with my lender or servicer, 
 Debt collection, 935392, Disclosure verification of debt, 
 Money transfers, 934521, Other transaction issues, 
 Debt collection, 932938, Communication tactics, 
 Debt collection, 931733, Cont'd attempts collect debt not owed, 
 Debt collection, 924139, Cont'd attempts collect debt not owed, 
 Debt collection, 924138, Cont'd attempts collect debt not owed, 
 Debt collection, 921203, Taking/threatening an illegal action, 
 Student loan, 921020, Dealing with my lender or servicer, 
 Credit card, 918353, Closing/Cancelling account, 
 Credit card, 918909, Billing disputes, 
 Debt collection, 918204, Improper contact or sharing of info, 
 Debt collection, 918803, Cont'd attempts collect debt not owed, 
 Credit reporting, 916089, Unable to get credit report/credit score, 
 Debt collection, 914217, Cont'd attempts collect debt not owed, 
 Credit card, 912489, Identity theft / Fraud / Embezzlement, 
 Consumer loan, 911106, Managing the loan or lease, 
 Debt collection, 911195, Communication tactics, 
 Student loan, 909022, Can't repay my loan, 
 Bank account or service, 907323, Deposits and withdrawals, 
