 Credit reporting, 1111667, Unable to get credit report/credit score, 
 Debt collection, 1105047, Taking/threatening an illegal action, 
 Credit reporting, 1095247, Incorrect information on credit report, 
 Credit reporting, 1095246, Incorrect information on credit report, 
 Credit reporting, 1095248, Incorrect information on credit report, 
 Credit reporting, 1095138, Incorrect information on credit report, 
 Debt collection, 1089900, Improper contact or sharing of info, 
 Debt collection, 1085326, Taking/threatening an illegal action, 
 Student loan, 1084582, Can't repay my loan, 
 Consumer loan, 1082337, Problems when you are unable to pay, 
 Debt collection, 1082281, Disclosure verification of debt, 
 Credit reporting, 1078067, Incorrect information on credit report, 
 Bank account or service, 1077284, Deposits and withdrawals, 
 Credit card, 1078276, Identity theft / Fraud / Embezzlement, 
 Mortgage, 1075205, Settlement process and costs, 
 Credit card, 1074081, Unsolicited issuance of credit card, 
 Debt collection, 1069436, Cont'd attempts collect debt not owed, 
 Consumer loan, 1068709, Managing the loan or lease, 
 Credit reporting, 1068404, Incorrect information on credit report, 
 Debt collection, 1068459, Cont'd attempts collect debt not owed, 
 Credit card, 1064677, Customer service / Customer relations, 
 Consumer loan, 1062205, Managing the loan or lease, 
 Payday loan, 1059668, Received a loan I didn't apply for, 
 Credit card, 1057867, Rewards, 
 Debt collection, 1049285, Disclosure verification of debt, 
 Credit reporting, 1048246, Incorrect information on credit report, 
 Debt collection, 1047222, False statements or representation, 
 Bank account or service, 1045758, Deposits and withdrawals, 
 Credit card, 1046433, Payoff process, 
 Debt collection, 1041505, Cont'd attempts collect debt not owed, 
 Debt collection, 1040540, Communication tactics, 
 Credit reporting, 1027185, Incorrect information on credit report, 
 Credit reporting, 1027336, Incorrect information on credit report, 
 Credit reporting, 1024552, Incorrect information on credit report, 
 Credit card, 1024906, Billing disputes, 
 Credit card, 1022489, Payoff process, 
 Credit card, 1023121, Unsolicited issuance of credit card, 
 Credit reporting, 1018406, Unable to get credit report/credit score, 
 Debt collection, 1017498, Communication tactics, 
 Credit card, 1013770, Sale of account, 
 Payday loan, 1013609, Can't contact lender, 
 Debt collection, 1005181, Cont'd attempts collect debt not owed, 
 Mortgage, 1006350, Credit decision / Underwriting, 
 Bank account or service, 1006682, Deposits and withdrawals, 
 Consumer loan, 1004323, Managing the loan or lease, 
 Bank account or service, 1004833, Using a debit or ATM card, 
 Credit reporting, 1003795, Improper use of my credit report, 
 Debt collection, 1004012, Cont'd attempts collect debt not owed, 
 Payday loan, 997101, Can't contact lender, 
 Credit card, 996387, Billing disputes, 
 Credit reporting, 997834, Incorrect information on credit report, 
 Debt collection, 991594, Cont'd attempts collect debt not owed, 
 Debt collection, 981883, Cont'd attempts collect debt not owed, 
 Student loan, 980309, Can't repay my loan, 
 Bank account or service, 976149, Deposits and withdrawals, 
 Debt collection, 975684, Communication tactics, 
 Credit reporting, 972227, Incorrect information on credit report, 
 Debt collection, 970627, Disclosure verification of debt, 
 Credit reporting, 970775, Incorrect information on credit report, 
 Debt collection, 964461, Communication tactics, 
 Debt collection, 963102, Cont'd attempts collect debt not owed, 
 Debt collection, 961490, Cont'd attempts collect debt not owed, 
 Debt collection, 959224, Cont'd attempts collect debt not owed, 
 Credit card, 949540, Billing disputes, 
 Mortgage, 944827, Credit decision / Underwriting, 
 Debt collection, 944996, False statements or representation, 
 Debt collection, 945183, Disclosure verification of debt, 
 Debt collection, 943488, Communication tactics, 
 Debt collection, 942083, Cont'd attempts collect debt not owed, 
 Student loan, 939069, Can't repay my loan, 
 Credit reporting, 938390, Unable to get credit report/credit score, 
 Debt collection, 934773, Communication tactics, 
 Debt collection, 936046, Cont'd attempts collect debt not owed, 
 Money transfers, 933358, Fraud or scam, 
 Debt collection, 931341, Communication tactics, 
 Credit card, 932054, APR or interest rate, 
 Bank account or service, 927136, Problems caused by my funds being low, 
 Debt collection, 925428, Communication tactics, 
 Mortgage, 925299, Credit decision / Underwriting, 
 Student loan, 925782, Dealing with my lender or servicer, 
 Credit reporting, 923608, Incorrect information on credit report, 
 Credit reporting, 923273, Incorrect information on credit report, 
 Payday loan, 919709, Received a loan I didn't apply for, 
 Consumer loan, 918712, Managing the loan or lease, 
 Credit reporting, 917235, Credit reporting company's investigation, 
 Credit reporting, 914216, Incorrect information on credit report, 
 Debt collection, 914631, Taking/threatening an illegal action, 
 Bank account or service, 910840, Deposits and withdrawals, 
 Debt collection, 910980, Communication tactics, 
 Debt collection, 910084, Disclosure verification of debt, 
 Credit reporting, 906224, Incorrect information on credit report, 
 Credit reporting, 903389, Incorrect information on credit report, 
