 Debt collection, 1107940, Communication tactics, 
 Debt collection, 1107939, Communication tactics, 
 Debt collection, 1105923, False statements or representation, 
 Credit reporting, 1105756, Incorrect information on credit report, 
 Debt collection, 1103554, Communication tactics, 
 Payday loan, 1102465, Can't contact lender, 
 Consumer loan, 1096448, Taking out the loan or lease, 
 Debt collection, 1094312, Cont'd attempts collect debt not owed, 
 Consumer loan, 1090128, Problems when you are unable to pay, 
 Credit card, 1089881, Identity theft / Fraud / Embezzlement, 
 Credit card, 1083195, Other, 
 Debt collection, 1083847, Improper contact or sharing of info, 
 Credit reporting, 1079661, Incorrect information on credit report, 
 Payday loan, 1080422, Applied for loan/did not receive money, 
 Debt collection, 1079825, Communication tactics, 
 Bank account or service, 1079629, Problems caused by my funds being low, 
 Credit reporting, 1077634, Incorrect information on credit report, 
 Consumer loan, 1078526, Managing the line of credit, 
 Debt collection, 1078583, Improper contact or sharing of info, 
 Debt collection, 1076411, Disclosure verification of debt, 
 Student loan, 1074891, Dealing with my lender or servicer, 
 Mortgage, 1076290, Credit decision / Underwriting, 
 Debt collection, 1075006, Taking/threatening an illegal action, 
 Consumer loan, 1074187, Managing the loan or lease, 
 Debt collection, 1071944, Improper contact or sharing of info, 
 Consumer loan, 1070327, Shopping for a loan or lease, 
 Debt collection, 1070986, Improper contact or sharing of info, 
 Consumer loan, 1071268, Managing the loan or lease, 
 Credit reporting, 1070597, Incorrect information on credit report, 
 Credit card, 1070673, Billing disputes, 
 Student loan, 1068576, Dealing with my lender or servicer, 
 Debt collection, 1068373, Cont'd attempts collect debt not owed, 
 Debt collection, 1068157, Cont'd attempts collect debt not owed, 
 Debt collection, 1066816, Cont'd attempts collect debt not owed, 
 Credit reporting, 1062652, Credit reporting company's investigation, 
 Credit reporting, 1061091, Incorrect information on credit report, 
 Consumer loan, 1060880, Problems when you are unable to pay, 
 Student loan, 1059393, Dealing with my lender or servicer, 
 Money transfers, 1056515, Other transaction issues, 
 Credit reporting, 1055668, Incorrect information on credit report, 
 Credit reporting, 1054585, Incorrect information on credit report, 
 Bank account or service, 1054860, Using a debit or ATM card, 
 Debt collection, 1053760, False statements or representation, 
 Debt collection, 1050843, Disclosure verification of debt, 
 Credit reporting, 1050974, Incorrect information on credit report, 
 Bank account or service, 1051152, Deposits and withdrawals, 
 Credit card, 1050687, Other, 
 Credit reporting, 1048507, Incorrect information on credit report, 
 Debt collection, 1048505, Cont'd attempts collect debt not owed, 
 Payday loan, 1048455, Charged fees or interest I didn't expect, 
 Credit reporting, 1048140, Unable to get credit report/credit score, 
 Credit reporting, 1048266, Unable to get credit report/credit score, 
 Bank account or service, 1047192, Using a debit or ATM card, 
 Credit reporting, 1045215, Incorrect information on credit report, 
 Bank account or service, 1045734, Problems caused by my funds being low, 
 Payday loan, 1046461, Can't stop charges to bank account, 
 Credit reporting, 1042865, Incorrect information on credit report, 
 Debt collection, 1040865, False statements or representation, 
 Credit reporting, 1039508, Incorrect information on credit report, 
 Bank account or service, 1039524, Deposits and withdrawals, 
 Debt collection, 1039560, Disclosure verification of debt, 
 Debt collection, 1038226, Disclosure verification of debt, 
 Debt collection, 1038493, Improper contact or sharing of info, 
 Consumer loan, 1038997, Managing the loan or lease, 
 Consumer loan, 1037862, Managing the loan or lease, 
 Debt collection, 1036429, Taking/threatening an illegal action, 
 Debt collection, 1036062, Cont'd attempts collect debt not owed, 
 Debt collection, 1032906, Cont'd attempts collect debt not owed, 
 Credit card, 1032537, Billing statement, 
 Credit reporting, 1030028, Incorrect information on credit report, 
 Consumer loan, 1030262, Managing the loan or lease, 
 Debt collection, 1031483, Disclosure verification of debt, 
 Credit reporting, 1028679, Incorrect information on credit report, 
 Debt collection, 1029746, Disclosure verification of debt, 
 Debt collection, 1028062, Cont'd attempts collect debt not owed, 
 Consumer loan, 1024378, Managing the loan or lease, 
 Consumer loan, 1024921, Managing the loan or lease, 
 Credit reporting, 1022209, Unable to get credit report/credit score, 
 Debt collection, 1022570, Taking/threatening an illegal action, 
 Debt collection, 1022569, Taking/threatening an illegal action, 
 Credit reporting, 1022588, Incorrect information on credit report, 
 Credit reporting, 1022587, Incorrect information on credit report, 
 Student loan, 1020075, Can't repay my loan, 
 Debt collection, 1020567, Cont'd attempts collect debt not owed, 
 Bank account or service, 1019157, Using a debit or ATM card, 
 Bank account or service, 1018205, Deposits and withdrawals, 
 Credit reporting, 1017741, Unable to get credit report/credit score, 
 Credit reporting, 1017756, Incorrect information on credit report, 
 Credit reporting, 1017761, Incorrect information on credit report, 
 Credit reporting, 1017757, Incorrect information on credit report, 
 Payday loan, 1015768, Can't contact lender, 
 Consumer loan, 1016996, Managing the loan or lease, 
 Debt collection, 1014999, Communication tactics, 
 Debt collection, 1015285, Taking/threatening an illegal action, 
 Debt collection, 1013860, Cont'd attempts collect debt not owed, 
 Debt collection, 1013859, Cont'd attempts collect debt not owed, 
 Credit reporting, 1014592, Incorrect information on credit report, 
 Credit card, 1014734, Billing disputes, 
 Bank account or service, 1014942, Problems caused by my funds being low, 
 Debt collection, 1013042, Cont'd attempts collect debt not owed, 
 Credit card, 1011725, Closing/Cancelling account, 
 Debt collection, 1011826, Communication tactics, 
 Bank account or service, 1011987, Deposits and withdrawals, 
 Debt collection, 1010843, Cont'd attempts collect debt not owed, 
 Debt collection, 1009379, Cont'd attempts collect debt not owed, 
 Credit card, 1009277, Billing disputes, 
 Credit card, 1008950, Unsolicited issuance of credit card, 
 Credit reporting, 1008897, Credit reporting company's investigation, 
 Debt collection, 1007171, Cont'd attempts collect debt not owed, 
 Student loan, 1007304, Dealing with my lender or servicer, 
 Debt collection, 1007929, Taking/threatening an illegal action, 
 Debt collection, 1006247, Communication tactics, 
 Debt collection, 1004204, Taking/threatening an illegal action, 
 Credit card, 1004539, Identity theft / Fraud / Embezzlement, 
 Credit card, 1003322, Billing disputes, 
 Credit card, 1003321, Billing disputes, 
 Debt collection, 1005623, Communication tactics, 
 Credit card, 1005621, Late fee, 
 Debt collection, 1003508, Communication tactics, 
 Debt collection, 1003619, Cont'd attempts collect debt not owed, 
 Credit card, 1002381, Billing disputes, 
 Credit card, 1002175, Credit card protection / Debt protection, 
 Consumer loan, 1002360, Taking out the loan or lease, 
 Credit card, 1002383, Billing disputes, 
 Credit card, 1002382, Billing disputes, 
 Debt collection, 1002516, Communication tactics, 
 Payday loan, 998566, Charged fees or interest I didn't expect, 
 Consumer loan, 998967, Taking out the loan or lease, 
 Debt collection, 998372, Improper contact or sharing of info, 
 Debt collection, 998371, Improper contact or sharing of info, 
 Debt collection, 997139, Cont'd attempts collect debt not owed, 
 Bank account or service, 997260, Deposits and withdrawals, 
 Credit card, 997654, Other, 
 Debt collection, 998271, Cont'd attempts collect debt not owed, 
 Credit reporting, 996023, Incorrect information on credit report, 
 Debt collection, 992662, Taking/threatening an illegal action, 
 Credit card, 992680, Billing disputes, 
 Consumer loan, 993739, Problems when you are unable to pay, 
 Credit card, 992531, Transaction issue, 
 Debt collection, 988765, Cont'd attempts collect debt not owed, 
