 Debt collection, 1048683, False statements or representation, 
 Debt collection, 1031651, Communication tactics, 
 Debt collection, 1029607, Disclosure verification of debt, 
 Credit reporting, 977255, Improper use of my credit report, 
 Credit reporting, 898158, Incorrect information on credit report, 
 Credit reporting, 836839, Incorrect information on credit report, 
 Debt collection, 790208, Improper contact or sharing of info, 
 Credit card, 617785, APR or interest rate, 
 Credit card, 503639, Advertising and marketing, 
 Credit card, 325988, Credit determination, 
