 Credit reporting, 1111753, Incorrect information on credit report, 
 Credit reporting, 1106679, Credit reporting company's investigation, 
 Bank account or service, 1101882, Problems caused by my funds being low, 
 Debt collection, 1100453, Communication tactics, 
 Debt collection, 1097508, Disclosure verification of debt, 
 Credit reporting, 1096477, Incorrect information on credit report, 
 Credit card, 1093577, Billing disputes, 
 Debt collection, 1090894, Disclosure verification of debt, 
 Credit card, 1088693, Bankruptcy, 
 Credit reporting, 1088684, Incorrect information on credit report, 
 Credit reporting, 1089151, Improper use of my credit report, 
 Credit card, 1086674, Forbearance / Workout plans, 
 Credit reporting, 1086133, Incorrect information on credit report, 
 Student loan, 1085328, Dealing with my lender or servicer, 
 Credit card, 1085276, Customer service / Customer relations, 
 Debt collection, 1083484, Communication tactics, 
 Debt collection, 1082753, Communication tactics, 
 Credit card, 1083480, Payoff process, 
 Debt collection, 1079994, Disclosure verification of debt, 
 Credit card, 1079172, Advertising and marketing, 
 Credit reporting, 1079829, Unable to get credit report/credit score, 
 Credit card, 1079167, Identity theft / Fraud / Embezzlement, 
 Debt collection, 1077325, False statements or representation, 
 Debt collection, 1077323, False statements or representation, 
 Debt collection, 1077318, False statements or representation, 
 Debt collection, 1077314, Cont'd attempts collect debt not owed, 
 Credit card, 1079584, Billing disputes, 
 Credit reporting, 1077373, Incorrect information on credit report, 
 Debt collection, 1077322, Cont'd attempts collect debt not owed, 
 Debt collection, 1077317, False statements or representation, 
 Credit reporting, 1077371, Incorrect information on credit report, 
 Debt collection, 1077315, False statements or representation, 
 Debt collection, 1077324, False statements or representation, 
 Credit reporting, 1078696, Incorrect information on credit report, 
 Student loan, 1076887, Dealing with my lender or servicer, 
 Credit reporting, 1076923, Unable to get credit report/credit score, 
 Money transfers, 1075863, Other service issues, 
 Credit reporting, 1075308, Incorrect information on credit report, 
 Mortgage, 1076334, Credit decision / Underwriting, 
 Money transfers, 1075840, Fraud or scam, 
 Credit reporting, 1075307, Incorrect information on credit report, 
 Credit reporting, 1075309, Incorrect information on credit report, 
 Debt collection, 1073602, Communication tactics, 
 Credit card, 1074847, Billing disputes, 
 Credit card, 1073563, Late fee, 
 Credit reporting, 1073124, Incorrect information on credit report, 
 Credit reporting, 1071859, Incorrect information on credit report, 
 Debt collection, 1071298, Cont'd attempts collect debt not owed, 
 Bank account or service, 1068621, Deposits and withdrawals, 
 Debt collection, 1068408, Cont'd attempts collect debt not owed, 
 Consumer loan, 1068053, Managing the loan or lease, 
 Student loan, 1067173, Dealing with my lender or servicer, 
 Credit reporting, 1066752, Credit reporting company's investigation, 
 Mortgage, 1066496, Credit decision / Underwriting, 
 Credit reporting, 1064982, Incorrect information on credit report, 
 Credit card, 1065559, Customer service / Customer relations, 
 Debt collection, 1065591, False statements or representation, 
 Debt collection, 1065849, Cont'd attempts collect debt not owed, 
 Debt collection, 1061383, Cont'd attempts collect debt not owed, 
 Debt collection, 1060916, False statements or representation, 
 Credit reporting, 1062759, Credit reporting company's investigation, 
 Mortgage, 1060900, Settlement process and costs, 
 Debt collection, 1060065, Disclosure verification of debt, 
 Debt collection, 1060182, Improper contact or sharing of info, 
 Bank account or service, 1058779, Problems caused by my funds being low, 
 Payday loan, 1058601, Charged fees or interest I didn't expect, 
 Credit reporting, 1058619, Incorrect information on credit report, 
 Consumer loan, 1058325, Taking out the loan or lease, 
 Credit card, 1058371, Application processing delay, 
 Credit reporting, 1058430, Unable to get credit report/credit score, 
 Debt collection, 1056598, Communication tactics, 
 Debt collection, 1055264, Communication tactics, 
 Credit reporting, 1054542, Incorrect information on credit report, 
 Credit reporting, 1054541, Incorrect information on credit report, 
 Mortgage, 1057851, Settlement process and costs, 
 Consumer loan, 1054840, Problems when you are unable to pay, 
 Student loan, 1053289, Dealing with my lender or servicer, 
 Debt collection, 1053670, Cont'd attempts collect debt not owed, 
 Mortgage, 1053997, Settlement process and costs, 
 Credit card, 1053995, Closing/Cancelling account, 
 Debt collection, 1054027, Cont'd attempts collect debt not owed, 
 Credit reporting, 1054641, Credit reporting company's investigation, 
 Payday loan, 1052755, Charged fees or interest I didn't expect, 
 Credit card, 1052017, Billing statement, 
 Bank account or service, 1048606, Problems caused by my funds being low, 
 Credit card, 1050748, Delinquent account, 
 Credit card, 1048058, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 1048223, Credit reporting company's investigation, 
 Credit reporting, 1047962, Credit reporting company's investigation, 
 Credit card, 1046923, Billing disputes, 
 Bank account or service, 1047190, Using a debit or ATM card, 
 Credit reporting, 1048037, Incorrect information on credit report, 
 Credit card, 1045624, Other, 
 Debt collection, 1044559, Taking/threatening an illegal action, 
 Debt collection, 1042289, Disclosure verification of debt, 
 Mortgage, 1042879, Settlement process and costs, 
 Credit reporting, 1040608, Incorrect information on credit report, 
 Credit card, 1041338, Delinquent account, 
 Debt collection, 1041439, Communication tactics, 
 Credit reporting, 1042332, Incorrect information on credit report, 
 Credit card, 1042380, Other, 
 Student loan, 1039711, Can't repay my loan, 
 Credit card, 1040531, Cash advance, 
 Credit reporting, 1039186, Incorrect information on credit report, 
 Credit card, 1038382, Other, 
 Credit card, 1036629, Privacy, 
 Debt collection, 1036148, Taking/threatening an illegal action, 
 Payday loan, 1037164, Charged fees or interest I didn't expect, 
 Debt collection, 1032639, Taking/threatening an illegal action, 
 Credit card, 1033089, Other, 
 Credit card, 1033375, Forbearance / Workout plans, 
 Bank account or service, 1033621, Problems caused by my funds being low, 
 Debt collection, 1034085, False statements or representation, 
 Consumer loan, 1030375, Problems when you are unable to pay, 
 Debt collection, 1031318, Cont'd attempts collect debt not owed, 
 Credit reporting, 1031317, Credit reporting company's investigation, 
 Student loan, 1032055, Can't repay my loan, 
 Student loan, 1030122, Dealing with my lender or servicer, 
 Credit card, 1027701, Credit card protection / Debt protection, 
 Debt collection, 1027076, Taking/threatening an illegal action, 
 Debt collection, 1027075, Taking/threatening an illegal action, 
 Student loan, 1024326, Can't repay my loan, 
 Student loan, 1025017, Can't repay my loan, 
 Debt collection, 1025174, Communication tactics, 
 Payday loan, 1025272, Can't contact lender, 
 Credit reporting, 1023894, Unable to get credit report/credit score, 
 Credit reporting, 1023893, Unable to get credit report/credit score, 
 Student loan, 1022350, Can't repay my loan, 
 Credit card, 1022485, Identity theft / Fraud / Embezzlement, 
 Money transfers, 1023042, Wrong amount charged or received, 
 Bank account or service, 1023445, Problems caused by my funds being low, 
 Debt collection, 1023962, Communication tactics, 
 Debt collection, 1020401, Taking/threatening an illegal action, 
 Consumer loan, 1020676, Managing the loan or lease, 
 Debt collection, 1021514, False statements or representation, 
 Credit reporting, 1019360, Incorrect information on credit report, 
 Credit reporting, 1019359, Incorrect information on credit report, 
 Credit reporting, 1019358, Incorrect information on credit report, 
 Credit reporting, 1018326, Unable to get credit report/credit score, 
 Debt collection, 1018778, Disclosure verification of debt, 
 Debt collection, 1018962, Communication tactics, 
 Credit reporting, 1017649, Incorrect information on credit report, 
 Bank account or service, 1017337, Problems caused by my funds being low, 
 Bank account or service, 1015650, Using a debit or ATM card, 
 Credit card, 1014481, Identity theft / Fraud / Embezzlement, 
 Credit card, 1014854, Convenience checks, 
 Payday loan, 1013646, Charged fees or interest I didn't expect, 
 Mortgage, 1012508, Credit decision / Underwriting, 
 Credit card, 1010612, Billing disputes, 
 Credit card, 1009787, APR or interest rate, 
 Bank account or service, 1010724, Problems caused by my funds being low, 
 Credit card, 1010107, Delinquent account, 
 Consumer loan, 1010334, Taking out the loan or lease, 
 Debt collection, 1009192, Cont'd attempts collect debt not owed, 
 Credit card, 1009209, Billing disputes, 
 Consumer loan, 1008814, Managing the loan or lease, 
 Mortgage, 1008295, Settlement process and costs, 
 Consumer loan, 1006909, Managing the loan or lease, 
 Debt collection, 1006304, Taking/threatening an illegal action, 
 Credit reporting, 1003324, Incorrect information on credit report, 
 Credit reporting, 1005639, Incorrect information on credit report, 
 Debt collection, 1003435, Communication tactics, 
 Debt collection, 1004010, Taking/threatening an illegal action, 
 Debt collection, 1004009, Taking/threatening an illegal action, 
 Credit reporting, 1000666, Credit reporting company's investigation, 
 Credit reporting, 1001144, Incorrect information on credit report, 
 Credit reporting, 1002490, Unable to get credit report/credit score, 
 Consumer loan, 1001425, Managing the loan or lease, 
 Payday loan, 1000662, Payment to acct not credited, 
 Credit reporting, 998568, Incorrect information on credit report, 
 Credit card, 999026, APR or interest rate, 
 Debt collection, 998662, Taking/threatening an illegal action, 
 Credit reporting, 996826, Credit monitoring or identity protection, 
 Credit reporting, 996825, Credit monitoring or identity protection, 
 Credit reporting, 996824, Credit monitoring or identity protection, 
 Credit card, 996086, Credit determination, 
 Credit card, 994712, Billing disputes, 
 Debt collection, 994717, Cont'd attempts collect debt not owed, 
 Student loan, 992823, Can't repay my loan, 
 Mortgage, 992951, Settlement process and costs, 
 Debt collection, 994615, Disclosure verification of debt, 
 Debt collection, 994648, Disclosure verification of debt, 
