 Debt collection, 1113211, False statements or representation, 
 Credit reporting, 1109764, Incorrect information on credit report, 
 Credit reporting, 1101785, Incorrect information on credit report, 
 Credit card, 1098165, Billing disputes, 
 Debt collection, 1097517, Taking/threatening an illegal action, 
 Credit reporting, 1093870, Incorrect information on credit report, 
 Debt collection, 1092076, Taking/threatening an illegal action, 
 Debt collection, 1087683, Communication tactics, 
 Credit reporting, 1088814, Incorrect information on credit report, 
 Credit reporting, 1087009, Unable to get credit report/credit score, 
 Credit card, 1086839, Billing disputes, 
 Consumer loan, 1086913, Managing the loan or lease, 
 Credit reporting, 1086867, Credit reporting company's investigation, 
 Credit reporting, 1085719, Incorrect information on credit report, 
 Debt collection, 1086712, Communication tactics, 
 Debt collection, 1085090, Taking/threatening an illegal action, 
 Mortgage, 1081941, Settlement process and costs, 
 Debt collection, 1077508, Cont'd attempts collect debt not owed, 
 Credit reporting, 1076803, Improper use of my credit report, 
 Consumer loan, 1073879, Taking out the loan or lease, 
 Payday loan, 1071177, Can't contact lender, 
 Credit reporting, 1069188, Incorrect information on credit report, 
 Credit card, 1068779, Billing disputes, 
 Credit reporting, 1068519, Credit monitoring or identity protection, 
 Credit reporting, 1068518, Unable to get credit report/credit score, 
 Debt collection, 1064856, Cont'd attempts collect debt not owed, 
 Credit reporting, 1064588, Incorrect information on credit report, 
 Consumer loan, 1063472, Managing the loan or lease, 
 Debt collection, 1061009, Cont'd attempts collect debt not owed, 
 Bank account or service, 1062870, Problems caused by my funds being low, 
 Credit reporting, 1058854, Unable to get credit report/credit score, 
 Debt collection, 1059037, Disclosure verification of debt, 
 Debt collection, 1058761, Cont'd attempts collect debt not owed, 
 Credit reporting, 1058232, Incorrect information on credit report, 
 Credit reporting, 1058493, Credit reporting company's investigation, 
 Credit reporting, 1058231, Incorrect information on credit report, 
 Credit reporting, 1057514, Incorrect information on credit report, 
 Debt collection, 1056503, Cont'd attempts collect debt not owed, 
 Debt collection, 1052108, Communication tactics, 
 Payday loan, 1049009, Can't contact lender, 
 Debt collection, 1045457, Taking/threatening an illegal action, 
 Credit reporting, 1045715, Incorrect information on credit report, 
 Credit reporting, 1044079, Incorrect information on credit report, 
 Payday loan, 1046442, Can't contact lender, 
 Bank account or service, 1043611, Deposits and withdrawals, 
 Consumer loan, 1042577, Taking out the loan or lease, 
 Student loan, 1042824, Can't repay my loan, 
 Debt collection, 1040403, Communication tactics, 
 Credit card, 1040777, Closing/Cancelling account, 
 Debt collection, 1039562, Cont'd attempts collect debt not owed, 
 Debt collection, 1038406, Communication tactics, 
 Mortgage, 1039792, Settlement process and costs, 
 Credit reporting, 1038129, Incorrect information on credit report, 
 Credit reporting, 1037837, Credit reporting company's investigation, 
 Student loan, 1036553, Can't repay my loan, 
 Consumer loan, 1034021, Taking out the loan or lease, 
 Credit card, 1035028, Identity theft / Fraud / Embezzlement, 
 Debt collection, 1032798, Communication tactics, 
 Credit card, 1032388, Customer service / Customer relations, 
 Consumer loan, 1030042, Taking out the loan or lease, 
 Debt collection, 1030406, False statements or representation, 
 Debt collection, 1030652, Improper contact or sharing of info, 
 Debt collection, 1030886, Disclosure verification of debt, 
 Student loan, 1032051, Can't repay my loan, 
 Credit reporting, 1028501, Incorrect information on credit report, 
 Mortgage, 1029715, Settlement process and costs, 
 Credit reporting, 1028041, Incorrect information on credit report, 
 Debt collection, 1028038, Disclosure verification of debt, 
 Consumer loan, 1028039, Problems when you are unable to pay, 
 Credit reporting, 1026047, Unable to get credit report/credit score, 
 Credit reporting, 1026046, Unable to get credit report/credit score, 
 Credit reporting, 1026045, Unable to get credit report/credit score, 
 Debt collection, 1024088, Cont'd attempts collect debt not owed, 
 Debt collection, 1024497, Cont'd attempts collect debt not owed, 
 Bank account or service, 1023194, Deposits and withdrawals, 
 Credit reporting, 1025510, Incorrect information on credit report, 
 Bank account or service, 1019954, Deposits and withdrawals, 
 Credit reporting, 1019518, Incorrect information on credit report, 
 Credit reporting, 1019519, Incorrect information on credit report, 
 Credit reporting, 1018355, Credit monitoring or identity protection, 
 Credit card, 1018505, Late fee, 
 Credit reporting, 1016502, Unable to get credit report/credit score, 
 Credit reporting, 1014651, Incorrect information on credit report, 
 Credit reporting, 1014650, Incorrect information on credit report, 
 Credit reporting, 1014652, Incorrect information on credit report, 
 Payday loan, 1015352, Charged fees or interest I didn't expect, 
 Bank account or service, 1014946, Deposits and withdrawals, 
 Credit reporting, 1014970, Incorrect information on credit report, 
 Credit card, 1012005, Closing/Cancelling account, 
 Debt collection, 1012840, Communication tactics, 
 Credit reporting, 1010831, Credit reporting company's investigation, 
 Credit reporting, 1009128, Incorrect information on credit report, 
 Debt collection, 1009072, Cont'd attempts collect debt not owed, 
 Credit reporting, 1008790, Incorrect information on credit report, 
 Consumer loan, 1005294, Taking out the loan or lease, 
 Debt collection, 1005296, Disclosure verification of debt, 
 Credit card, 1007810, Identity theft / Fraud / Embezzlement, 
 Credit card, 1007809, Identity theft / Fraud / Embezzlement, 
 Consumer loan, 1007808, Taking out the loan or lease, 
 Credit card, 1007807, Identity theft / Fraud / Embezzlement, 
 Consumer loan, 1006557, Problems when you are unable to pay, 
 Credit reporting, 1005287, Incorrect information on credit report, 
 Debt collection, 1005289, Cont'd attempts collect debt not owed, 
 Credit reporting, 999966, Unable to get credit report/credit score, 
 Debt collection, 1000137, Cont'd attempts collect debt not owed, 
 Credit reporting, 998987, Unable to get credit report/credit score, 
 Payday loan, 997164, Charged fees or interest I didn't expect, 
 Debt collection, 997357, Cont'd attempts collect debt not owed, 
 Credit reporting, 998360, Credit reporting company's investigation, 
 Credit card, 994211, Other, 
 Consumer loan, 994208, Managing the loan or lease, 
 Consumer loan, 994209, Managing the loan or lease, 
 Debt collection, 996674, Communication tactics, 
 Bank account or service, 993751, Using a debit or ATM card, 
 Credit reporting, 992366, Incorrect information on credit report, 
 Consumer loan, 989927, Problems when you are unable to pay, 
 Debt collection, 990331, Taking/threatening an illegal action, 
 Debt collection, 988563, Communication tactics, 
 Student loan, 988243, Can't repay my loan, 
 Credit reporting, 987919, Incorrect information on credit report, 
 Debt collection, 986815, Communication tactics, 
 Consumer loan, 987484, Taking out the loan or lease, 
 Credit card, 987563, Privacy, 
 Student loan, 985425, Can't repay my loan, 
 Credit reporting, 984159, Incorrect information on credit report, 
 Payday loan, 982414, Charged fees or interest I didn't expect, 
 Consumer loan, 982451, Managing the loan or lease, 
 Credit card, 981928, Billing disputes, 
 Debt collection, 979880, Communication tactics, 
 Credit reporting, 977239, Unable to get credit report/credit score, 
 Credit card, 977939, Billing disputes, 
 Debt collection, 977037, False statements or representation, 
 Debt collection, 973397, Cont'd attempts collect debt not owed, 
 Consumer loan, 971801, Shopping for a loan or lease, 
 Bank account or service, 974000, Deposits and withdrawals, 
 Credit card, 972427, Late fee, 
 Debt collection, 968468, False statements or representation, 
 Credit card, 970233, Transaction issue, 
 Credit reporting, 970703, Incorrect information on credit report, 
 Mortgage, 968040, Settlement process and costs, 
 Credit reporting, 966600, Incorrect information on credit report, 
 Credit card, 968038, Other, 
 Credit reporting, 970230, Incorrect information on credit report, 
 Credit card, 968037, Other, 
 Debt collection, 968035, Cont'd attempts collect debt not owed, 
 Debt collection, 968032, Disclosure verification of debt, 
 Debt collection, 968030, Cont'd attempts collect debt not owed, 
 Debt collection, 968023, Cont'd attempts collect debt not owed, 
 Credit card, 968022, Closing/Cancelling account, 
 Credit card, 968019, Closing/Cancelling account, 
 Credit card, 968025, Billing disputes, 
 Debt collection, 966526, Communication tactics, 
 Consumer loan, 966226, Problems when you are unable to pay, 
 Credit card, 966225, Customer service / Customer relations, 
 Credit card, 964098, Delinquent account, 
 Consumer loan, 963594, Managing the loan or lease, 
 Credit reporting, 963702, Incorrect information on credit report, 
 Debt collection, 964270, Cont'd attempts collect debt not owed, 
 Credit reporting, 962558, Credit reporting company's investigation, 
 Debt collection, 960320, Cont'd attempts collect debt not owed, 
 Debt collection, 961021, Improper contact or sharing of info, 
 Consumer loan, 958720, Problems when you are unable to pay, 
 Debt collection, 960094, Communication tactics, 
 Payday loan, 951585, Charged fees or interest I didn't expect, 
 Student loan, 949328, Dealing with my lender or servicer, 
 Debt collection, 950821, Taking/threatening an illegal action, 
 Credit card, 946616, Transaction issue, 
 Debt collection, 943078, Cont'd attempts collect debt not owed, 
 Credit reporting, 943782, Incorrect information on credit report, 
 Debt collection, 945011, Cont'd attempts collect debt not owed, 
 Debt collection, 942574, False statements or representation, 
 Debt collection, 940402, Cont'd attempts collect debt not owed, 
 Consumer loan, 939656, Managing the loan or lease, 
 Debt collection, 939734, False statements or representation, 
 Debt collection, 939733, False statements or representation, 
 Mortgage, 936854, Credit decision / Underwriting, 
 Debt collection, 938433, False statements or representation, 
 Debt collection, 936991, Communication tactics, 
 Debt collection, 935420, Cont'd attempts collect debt not owed, 
 Credit reporting, 935490, Incorrect information on credit report, 
 Debt collection, 935753, Disclosure verification of debt, 
 Debt collection, 934090, Communication tactics, 
 Debt collection, 931169, Cont'd attempts collect debt not owed, 
 Debt collection, 931168, Cont'd attempts collect debt not owed, 
 Credit card, 927285, Arbitration, 
 Debt collection, 926325, Communication tactics, 
 Debt collection, 928312, Cont'd attempts collect debt not owed, 
 Credit reporting, 926500, Unable to get credit report/credit score, 
 Credit card, 926575, Credit line increase/decrease, 
 Credit card, 926574, Credit line increase/decrease, 
 Debt collection, 924624, Cont'd attempts collect debt not owed, 
 Credit reporting, 924221, Incorrect information on credit report, 
 Credit reporting, 923897, Incorrect information on credit report, 
 Credit card, 923635, Other, 
 Credit reporting, 919438, Incorrect information on credit report, 
 Debt collection, 919985, Improper contact or sharing of info, 
 Debt collection, 919984, Improper contact or sharing of info, 
 Credit reporting, 917648, Incorrect information on credit report, 
 Credit reporting, 916314, Incorrect information on credit report, 
 Credit reporting, 914147, Incorrect information on credit report, 
 Debt collection, 915580, Cont'd attempts collect debt not owed, 
 Mortgage, 914005, Credit decision / Underwriting, 
 Consumer loan, 912088, Managing the loan or lease, 
 Credit reporting, 912555, Unable to get credit report/credit score, 
 Mortgage, 911480, Credit decision / Underwriting, 
 Consumer loan, 912128, Problems when you are unable to pay, 
 Credit reporting, 912158, Incorrect information on credit report, 
 Debt collection, 908167, Improper contact or sharing of info, 
 Credit reporting, 903547, Incorrect information on credit report, 
 Debt collection, 902121, Improper contact or sharing of info, 
 Debt collection, 901531, Cont'd attempts collect debt not owed, 
 Debt collection, 900132, Communication tactics, 
 Credit reporting, 901230, Improper use of my credit report, 
 Debt collection, 898090, Cont'd attempts collect debt not owed, 
 Debt collection, 898304, Communication tactics, 
 Debt collection, 898556, Disclosure verification of debt, 
 Consumer loan, 897170, Managing the loan or lease, 
 Debt collection, 894812, Disclosure verification of debt, 
 Credit reporting, 893520, Incorrect information on credit report, 
 Debt collection, 892742, False statements or representation, 
 Credit reporting, 890059, Incorrect information on credit report, 
 Debt collection, 888920, Cont'd attempts collect debt not owed, 
 Debt collection, 888355, Communication tactics, 
 Student loan, 885695, Dealing with my lender or servicer, 
 Mortgage, 887463, Credit decision / Underwriting, 
 Payday loan, 883647, Can't stop charges to bank account, 
 Student loan, 883817, Dealing with my lender or servicer, 
 Payday loan, 880334, Payment to acct not credited, 
 Consumer loan, 880774, Managing the loan or lease, 
 Debt collection, 878206, Disclosure verification of debt, 
 Debt collection, 878112, Cont'd attempts collect debt not owed, 
 Debt collection, 878141, Cont'd attempts collect debt not owed, 
 Mortgage, 875955, Credit decision / Underwriting, 
 Debt collection, 875820, Cont'd attempts collect debt not owed, 
 Bank account or service, 872896, Deposits and withdrawals, 
 Credit reporting, 873273, Incorrect information on credit report, 
 Debt collection, 873897, Cont'd attempts collect debt not owed, 
 Credit reporting, 874163, Credit reporting company's investigation, 
 Consumer loan, 870200, Managing the loan or lease, 
 Credit card, 867691, Identity theft / Fraud / Embezzlement, 
 Credit card, 867765, Billing disputes, 
 Credit card, 867618, Credit line increase/decrease, 
 Debt collection, 860309, Communication tactics, 
 Bank account or service, 861968, Problems caused by my funds being low, 
 Credit reporting, 859015, Incorrect information on credit report, 
 Credit reporting, 859014, Incorrect information on credit report, 
 Payday loan, 855391, Received a loan I didn't apply for, 
 Payday loan, 855868, Applied for loan/did not receive money, 
 Consumer loan, 854346, Problems when you are unable to pay, 
 Debt collection, 853340, Improper contact or sharing of info, 
 Debt collection, 849949, False statements or representation, 
 Credit reporting, 847241, Incorrect information on credit report, 
 Credit reporting, 847242, Incorrect information on credit report, 
 Credit reporting, 847243, Incorrect information on credit report, 
 Debt collection, 847267, Disclosure verification of debt, 
 Credit card, 847786, Delinquent account, 
 Debt collection, 848130, Taking/threatening an illegal action, 
 Bank account or service, 846799, Deposits and withdrawals, 
 Debt collection, 845819, Communication tactics, 
 Credit reporting, 843005, Incorrect information on credit report, 
 Credit reporting, 843122, Credit reporting company's investigation, 
 Credit reporting, 843615, Unable to get credit report/credit score, 
 Debt collection, 843635, Cont'd attempts collect debt not owed, 
 Credit reporting, 844085, Credit reporting company's investigation, 
 Bank account or service, 844170, Deposits and withdrawals, 
 Credit card, 842355, APR or interest rate, 
 Debt collection, 842780, Communication tactics, 
 Mortgage, 840992, Settlement process and costs, 
 Debt collection, 841069, Cont'd attempts collect debt not owed, 
 Debt collection, 841068, Cont'd attempts collect debt not owed, 
 Debt collection, 834939, Communication tactics, 
 Credit card, 836327, Billing disputes, 
 Debt collection, 832442, Cont'd attempts collect debt not owed, 
 Mortgage, 833095, Other, 
 Student loan, 831772, Can't repay my loan, 
 Credit reporting, 830649, Incorrect information on credit report, 
 Credit reporting, 830650, Incorrect information on credit report, 
 Credit reporting, 828434, Unable to get credit report/credit score, 
 Credit reporting, 829461, Unable to get credit report/credit score, 
 Credit reporting, 829376, Incorrect information on credit report, 
 Credit reporting, 829460, Unable to get credit report/credit score, 
 Debt collection, 829457, Communication tactics, 
 Debt collection, 827928, Cont'd attempts collect debt not owed, 
 Credit reporting, 825763, Unable to get credit report/credit score, 
 Credit reporting, 825762, Unable to get credit report/credit score, 
 Credit reporting, 825761, Unable to get credit report/credit score, 
 Debt collection, 824317, Cont'd attempts collect debt not owed, 
 Debt collection, 822397, Cont'd attempts collect debt not owed, 
 Bank account or service, 821412, Deposits and withdrawals, 
 Money transfers, 815849, Other transaction issues, 
 Credit card, 814795, APR or interest rate, 
 Credit reporting, 812587, Incorrect information on credit report, 
 Debt collection, 811265, Communication tactics, 
 Credit reporting, 810828, Incorrect information on credit report, 
 Credit reporting, 808922, Incorrect information on credit report, 
 Debt collection, 806740, Taking/threatening an illegal action, 
 Debt collection, 806738, Taking/threatening an illegal action, 
 Debt collection, 806737, Taking/threatening an illegal action, 
 Credit reporting, 803848, Incorrect information on credit report, 
 Credit reporting, 798414, Incorrect information on credit report, 
 Bank account or service, 796321, Problems caused by my funds being low, 
 Consumer loan, 797326, Managing the loan or lease, 
 Payday loan, 794282, Payment to acct not credited, 
 Credit reporting, 792435, Incorrect information on credit report, 
 Credit card, 792747, Closing/Cancelling account, 
 Debt collection, 791423, Disclosure verification of debt, 
 Credit reporting, 789730, Incorrect information on credit report, 
 Credit card, 789716, Advertising and marketing, 
 Debt collection, 790289, Taking/threatening an illegal action, 
 Student loan, 789179, Can't repay my loan, 
 Credit reporting, 785261, Incorrect information on credit report, 
 Credit reporting, 785260, Incorrect information on credit report, 
 Credit reporting, 785259, Incorrect information on credit report, 
 Payday loan, 784676, Charged fees or interest I didn't expect, 
 Debt collection, 783209, Communication tactics, 
 Debt collection, 783208, Communication tactics, 
 Bank account or service, 784490, Deposits and withdrawals, 
 Debt collection, 782279, Cont'd attempts collect debt not owed, 
 Debt collection, 782586, Communication tactics, 
 Debt collection, 782588, Communication tactics, 
 Debt collection, 782589, Communication tactics, 
 Debt collection, 782590, Communication tactics, 
 Debt collection, 782609, Disclosure verification of debt, 
 Mortgage, 782634, Credit decision / Underwriting, 
 Credit reporting, 779096, Incorrect information on credit report, 
 Credit reporting, 779095, Incorrect information on credit report, 
 Credit reporting, 779097, Incorrect information on credit report, 
 Credit card, 776626, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 775995, Improper use of my credit report, 
 Credit card, 773837, APR or interest rate, 
 Credit reporting, 773327, Incorrect information on credit report, 
 Student loan, 769227, Dealing with my lender or servicer, 
 Bank account or service, 765081, Deposits and withdrawals, 
 Credit reporting, 765620, Incorrect information on credit report, 
 Debt collection, 768901, Cont'd attempts collect debt not owed, 
 Debt collection, 768902, Cont'd attempts collect debt not owed, 
 Debt collection, 768903, Cont'd attempts collect debt not owed, 
 Debt collection, 768904, Cont'd attempts collect debt not owed, 
 Debt collection, 768905, Cont'd attempts collect debt not owed, 
 Debt collection, 766908, False statements or representation, 
 Debt collection, 768503, Communication tactics, 
 Credit reporting, 759449, Incorrect information on credit report, 
 Debt collection, 760315, Improper contact or sharing of info, 
 Credit card, 759025, Delinquent account, 
 Credit reporting, 766451, Incorrect information on credit report, 
 Consumer loan, 766450, Managing the loan or lease, 
 Consumer loan, 760408, Problems when you are unable to pay, 
 Debt collection, 767377, Communication tactics, 
 Debt collection, 763209, False statements or representation, 
 Credit reporting, 760149, Incorrect information on credit report, 
 Debt collection, 755054, Cont'd attempts collect debt not owed, 
 Mortgage, 753182, Credit decision / Underwriting, 
 Debt collection, 747689, Communication tactics, 
 Student loan, 745124, Dealing with my lender or servicer, 
 Student loan, 746276, Can't repay my loan, 
 Credit card, 743520, Payoff process, 
 Bank account or service, 742045, Problems caused by my funds being low, 
 Debt collection, 744058, Cont'd attempts collect debt not owed, 
 Debt collection, 739647, Cont'd attempts collect debt not owed, 
 Debt collection, 739646, Cont'd attempts collect debt not owed, 
 Debt collection, 739670, False statements or representation, 
 Student loan, 737404, Can't repay my loan, 
 Credit card, 736141, Customer service / Customer relations, 
 Student loan, 733588, Dealing with my lender or servicer, 
 Debt collection, 731963, Communication tactics, 
 Debt collection, 728078, Communication tactics, 
 Consumer loan, 727053, Shopping for a loan or lease, 
 Debt collection, 725215, Improper contact or sharing of info, 
 Credit card, 717869, Delinquent account, 
 Student loan, 716485, Can't repay my loan, 
 Debt collection, 715953, Cont'd attempts collect debt not owed, 
 Debt collection, 715326, Cont'd attempts collect debt not owed, 
 Credit reporting, 719887, Incorrect information on credit report, 
 Credit reporting, 714348, Credit reporting company's investigation, 
 Credit card, 703432, Billing disputes, 
 Debt collection, 705558, Disclosure verification of debt, 
 Debt collection, 701767, Cont'd attempts collect debt not owed, 
 Credit reporting, 700643, Incorrect information on credit report, 
 Credit card, 700554, Advertising and marketing, 
 Mortgage, 710304, Credit decision / Underwriting, 
 Credit reporting, 707953, Incorrect information on credit report, 
 Credit reporting, 700272, Incorrect information on credit report, 
 Credit card, 699456, APR or interest rate, 
 Credit reporting, 697640, Incorrect information on credit report, 
 Credit card, 696660, Other, 
 Credit card, 695513, APR or interest rate, 
 Consumer loan, 693776, Problems when you are unable to pay, 
 Student loan, 692019, Can't repay my loan, 
 Credit reporting, 689872, Incorrect information on credit report, 
 Debt collection, 686558, Disclosure verification of debt, 
 Debt collection, 682017, Communication tactics, 
 Debt collection, 679532, Communication tactics, 
 Credit reporting, 676847, Incorrect information on credit report, 
 Credit reporting, 676846, Incorrect information on credit report, 
 Credit card, 676134, Late fee, 
 Credit card, 672565, Delinquent account, 
 Credit reporting, 670141, Incorrect information on credit report, 
 Debt collection, 668707, False statements or representation, 
 Credit reporting, 664429, Incorrect information on credit report, 
 Credit reporting, 664427, Incorrect information on credit report, 
 Credit reporting, 664424, Incorrect information on credit report, 
 Credit reporting, 664433, Incorrect information on credit report, 
 Credit reporting, 664432, Incorrect information on credit report, 
 Credit card, 664431, Other, 
 Credit reporting, 664430, Incorrect information on credit report, 
 Credit reporting, 664436, Incorrect information on credit report, 
 Credit card, 664435, Other, 
 Credit reporting, 664438, Incorrect information on credit report, 
