 Debt collection, 1111192, Communication tactics, 
 Credit reporting, 1106134, Credit reporting company's investigation, 
 Credit reporting, 1106059, Unable to get credit report/credit score, 
 Consumer loan, 1101273, Managing the loan or lease, 
 Credit reporting, 1102386, Incorrect information on credit report, 
 Credit reporting, 1097737, Incorrect information on credit report, 
 Credit reporting, 1101905, Credit reporting company's investigation, 
 Debt collection, 1099353, Cont'd attempts collect debt not owed, 
 Credit reporting, 1097597, Incorrect information on credit report, 
 Consumer loan, 1097578, Managing the loan or lease, 
 Credit reporting, 1094315, Incorrect information on credit report, 
 Credit reporting, 1094188, Incorrect information on credit report, 
 Credit reporting, 1094187, Incorrect information on credit report, 
 Bank account or service, 1093058, Deposits and withdrawals, 
 Bank account or service, 1091575, Deposits and withdrawals, 
 Credit reporting, 1092731, Incorrect information on credit report, 
 Debt collection, 1087539, Communication tactics, 
 Credit reporting, 1090874, Incorrect information on credit report, 
 Consumer loan, 1087047, Managing the loan or lease, 
 Consumer loan, 1087083, Managing the loan or lease, 
 Credit card, 1086882, Identity theft / Fraud / Embezzlement, 
 Consumer loan, 1086844, Problems when you are unable to pay, 
 Consumer loan, 1086375, Problems when you are unable to pay, 
 Debt collection, 1085666, Communication tactics, 
 Debt collection, 1083164, Communication tactics, 
 Bank account or service, 1083290, Problems caused by my funds being low, 
 Bank account or service, 1081831, Problems caused by my funds being low, 
 Debt collection, 1083080, Cont'd attempts collect debt not owed, 
 Credit reporting, 1083477, Credit reporting company's investigation, 
 Student loan, 1081556, Dealing with my lender or servicer, 
 Consumer loan, 1081853, Managing the loan or lease, 
 Bank account or service, 1079926, Problems caused by my funds being low, 
 Consumer loan, 1079609, Problems when you are unable to pay, 
 Credit card, 1079322, Delinquent account, 
 Debt collection, 1079779, Cont'd attempts collect debt not owed, 
 Student loan, 1081481, Can't repay my loan, 
 Credit reporting, 1079202, Unable to get credit report/credit score, 
 Debt collection, 1080051, Cont'd attempts collect debt not owed, 
 Bank account or service, 1080131, Deposits and withdrawals, 
 Credit card, 1079324, Delinquent account, 
 Credit card, 1079323, Delinquent account, 
 Credit card, 1080682, Closing/Cancelling account, 
 Debt collection, 1079500, False statements or representation, 
 Credit reporting, 1078160, Incorrect information on credit report, 
 Credit reporting, 1077674, Incorrect information on credit report, 
 Credit reporting, 1077675, Incorrect information on credit report, 
 Credit reporting, 1077673, Incorrect information on credit report, 
 Debt collection, 1077055, Communication tactics, 
 Credit reporting, 1076977, Credit reporting company's investigation, 
 Credit reporting, 1076848, Credit reporting company's investigation, 
 Debt collection, 1076888, Cont'd attempts collect debt not owed, 
 Credit reporting, 1075448, Unable to get credit report/credit score, 
 Debt collection, 1076108, Improper contact or sharing of info, 
 Debt collection, 1074661, Cont'd attempts collect debt not owed, 
 Consumer loan, 1075792, Managing the loan or lease, 
 Debt collection, 1076288, Communication tactics, 
 Credit reporting, 1073185, Incorrect information on credit report, 
 Consumer loan, 1075155, Problems when you are unable to pay, 
 Bank account or service, 1075666, Problems caused by my funds being low, 
 Bank account or service, 1075683, Deposits and withdrawals, 
 Consumer loan, 1075587, Managing the loan or lease, 
 Student loan, 1071934, Can't repay my loan, 
 Debt collection, 1071763, Improper contact or sharing of info, 
 Credit reporting, 1071021, Incorrect information on credit report, 
 Debt collection, 1072725, Cont'd attempts collect debt not owed, 
 Consumer loan, 1071075, Managing the loan or lease, 
 Payday loan, 1071997, Charged bank acct wrong day or amt, 
 Credit card, 1071331, Billing statement, 
 Debt collection, 1070545, Cont'd attempts collect debt not owed, 
 Credit reporting, 1069262, Incorrect information on credit report, 
 Credit reporting, 1070002, Incorrect information on credit report, 
 Credit reporting, 1070455, Incorrect information on credit report, 
 Student loan, 1068985, Can't repay my loan, 
 Credit reporting, 1068855, Incorrect information on credit report, 
 Credit reporting, 1068845, Incorrect information on credit report, 
 Credit reporting, 1068856, Incorrect information on credit report, 
 Debt collection, 1068444, Cont'd attempts collect debt not owed, 
 Credit reporting, 1068182, Improper use of my credit report, 
 Mortgage, 1068188, Credit decision / Underwriting, 
 Bank account or service, 1067189, Deposits and withdrawals, 
 Credit card, 1066338, Billing disputes, 
 Credit reporting, 1066492, Credit reporting company's investigation, 
 Debt collection, 1065057, Communication tactics, 
 Student loan, 1064464, Can't repay my loan, 
 Debt collection, 1065455, Taking/threatening an illegal action, 
 Credit reporting, 1066491, Incorrect information on credit report, 
 Credit reporting, 1065821, Incorrect information on credit report, 
 Debt collection, 1063169, Communication tactics, 
 Consumer loan, 1064578, Managing the loan or lease, 
 Debt collection, 1064621, Disclosure verification of debt, 
 Mortgage, 1064119, Settlement process and costs, 
 Debt collection, 1061626, Communication tactics, 
 Credit card, 1061320, Customer service / Customer relations, 
 Debt collection, 1061991, Taking/threatening an illegal action, 
 Credit card, 1061949, Identity theft / Fraud / Embezzlement, 
 Debt collection, 1060141, Disclosure verification of debt, 
 Payday loan, 1059636, Can't stop charges to bank account, 
 Debt collection, 1060828, Cont'd attempts collect debt not owed, 
 Student loan, 1059066, Dealing with my lender or servicer, 
 Credit card, 1060142, Billing disputes, 
 Debt collection, 1058641, Communication tactics, 
 Debt collection, 1058220, Cont'd attempts collect debt not owed, 
 Debt collection, 1058218, Cont'd attempts collect debt not owed, 
 Debt collection, 1058217, Cont'd attempts collect debt not owed, 
 Debt collection, 1056759, Disclosure verification of debt, 
 Payday loan, 1057192, Charged fees or interest I didn't expect, 
 Consumer loan, 1056607, Shopping for a loan or lease, 
 Credit card, 1056617, Billing disputes, 
 Credit card, 1056616, Billing disputes, 
 Payday loan, 1055863, Applied for loan/did not receive money, 
 Debt collection, 1053486, Communication tactics, 
 Credit card, 1053681, Advertising and marketing, 
 Debt collection, 1053882, Cont'd attempts collect debt not owed, 
 Debt collection, 1053881, Cont'd attempts collect debt not owed, 
 Debt collection, 1053880, Cont'd attempts collect debt not owed, 
 Bank account or service, 1054011, Problems caused by my funds being low, 
 Consumer loan, 1054634, Problems when you are unable to pay, 
 Credit reporting, 1052584, Incorrect information on credit report, 
 Debt collection, 1054688, Cont'd attempts collect debt not owed, 
 Credit reporting, 1052868, Incorrect information on credit report, 
 Credit card, 1052886, Other, 
 Payday loan, 1051334, Received a loan I didn't apply for, 
 Debt collection, 1051964, Disclosure verification of debt, 
 Debt collection, 1050665, Cont'd attempts collect debt not owed, 
 Credit reporting, 1050834, Credit reporting company's investigation, 
 Credit reporting, 1048575, Improper use of my credit report, 
 Consumer loan, 1048619, Problems when you are unable to pay, 
 Debt collection, 1049937, Taking/threatening an illegal action, 
 Credit card, 1050763, APR or interest rate, 
 Consumer loan, 1048384, Managing the loan or lease, 
 Debt collection, 1050126, Cont'd attempts collect debt not owed, 
 Credit reporting, 1048155, Credit monitoring or identity protection, 
 Debt collection, 1046670, Cont'd attempts collect debt not owed, 
 Credit card, 1046652, Closing/Cancelling account, 
 Payday loan, 1047151, Charged fees or interest I didn't expect, 
 Bank account or service, 1047658, Deposits and withdrawals, 
 Debt collection, 1044945, Disclosure verification of debt, 
 Debt collection, 1045220, False statements or representation, 
 Credit reporting, 1045218, Incorrect information on credit report, 
 Credit reporting, 1045217, Incorrect information on credit report, 
 Payday loan, 1044365, Charged fees or interest I didn't expect, 
 Debt collection, 1046371, Communication tactics, 
 Payday loan, 1044221, Charged fees or interest I didn't expect, 
 Credit reporting, 1043065, Incorrect information on credit report, 
 Mortgage, 1043210, Settlement process and costs, 
 Credit card, 1043156, APR or interest rate, 
 Debt collection, 1043993, Cont'd attempts collect debt not owed, 
 Debt collection, 1041687, Disclosure verification of debt, 
 Payday loan, 1041644, Charged bank acct wrong day or amt, 
 Debt collection, 1041780, Disclosure verification of debt, 
 Credit reporting, 1040769, Incorrect information on credit report, 
 Money transfers, 1041352, Fraud or scam, 
 Credit card, 1041490, Other fee, 
 Student loan, 1039019, Can't repay my loan, 
 Payday loan, 1038998, Charged fees or interest I didn't expect, 
 Credit reporting, 1039853, Incorrect information on credit report, 
 Credit reporting, 1039852, Incorrect information on credit report, 
 Credit reporting, 1041779, Incorrect information on credit report, 
 Credit reporting, 1038098, Incorrect information on credit report, 
 Credit reporting, 1037826, Incorrect information on credit report, 
 Consumer loan, 1036146, Problems when you are unable to pay, 
 Debt collection, 1036162, Disclosure verification of debt, 
 Credit card, 1036202, Late fee, 
 Credit card, 1036330, Other, 
 Debt collection, 1036359, Taking/threatening an illegal action, 
 Credit reporting, 1033943, Incorrect information on credit report, 
 Credit reporting, 1034465, Incorrect information on credit report, 
 Debt collection, 1034334, Communication tactics, 
 Debt collection, 1034687, Communication tactics, 
 Credit reporting, 1034735, Incorrect information on credit report, 
 Consumer loan, 1034854, Managing the loan or lease, 
 Debt collection, 1035338, Cont'd attempts collect debt not owed, 
 Debt collection, 1032355, Cont'd attempts collect debt not owed, 
 Student loan, 1032214, Dealing with my lender or servicer, 
 Debt collection, 1033547, Communication tactics, 
 Consumer loan, 1032986, Taking out the loan or lease, 
 Debt collection, 1032728, Disclosure verification of debt, 
 Credit card, 1033155, Late fee, 
 Debt collection, 1032356, Cont'd attempts collect debt not owed, 
 Debt collection, 1033213, False statements or representation, 
 Credit reporting, 1031979, Incorrect information on credit report, 
 Consumer loan, 1031974, Problems when you are unable to pay, 
 Credit reporting, 1030053, Incorrect information on credit report, 
 Consumer loan, 1030470, Taking out the loan or lease, 
 Student loan, 1030815, Getting a loan, 
 Debt collection, 1030647, Disclosure verification of debt, 
 Debt collection, 1031389, Communication tactics, 
 Bank account or service, 1032464, Problems caused by my funds being low, 
 Debt collection, 1028321, Disclosure verification of debt, 
 Credit reporting, 1028448, Incorrect information on credit report, 
 Credit reporting, 1029684, Incorrect information on credit report, 
 Credit reporting, 1029683, Incorrect information on credit report, 
 Credit reporting, 1029682, Incorrect information on credit report, 
 Debt collection, 1027745, Taking/threatening an illegal action, 
 Debt collection, 1027744, Taking/threatening an illegal action, 
 Debt collection, 1027815, Disclosure verification of debt, 
 Credit card, 1026519, Advertising and marketing, 
 Bank account or service, 1026822, Problems caused by my funds being low, 
 Credit reporting, 1027245, Incorrect information on credit report, 
 Credit reporting, 1027247, Incorrect information on credit report, 
 Credit reporting, 1027246, Incorrect information on credit report, 
 Debt collection, 1027438, Disclosure verification of debt, 
 Debt collection, 1027437, Disclosure verification of debt, 
 Credit reporting, 1026433, Unable to get credit report/credit score, 
 Credit card, 1026019, Billing disputes, 
 Consumer loan, 1024540, Managing the loan or lease, 
 Debt collection, 1024650, False statements or representation, 
 Debt collection, 1025058, Communication tactics, 
 Payday loan, 1025193, Can't stop charges to bank account, 
 Credit reporting, 1023887, Incorrect information on credit report, 
 Credit reporting, 1023889, Incorrect information on credit report, 
 Debt collection, 1022051, Cont'd attempts collect debt not owed, 
 Credit reporting, 1022861, Credit reporting company's investigation, 
 Debt collection, 1022859, Cont'd attempts collect debt not owed, 
 Student loan, 1023828, Can't repay my loan, 
