 Credit reporting, 1091537, Incorrect information on credit report, 
 Consumer loan, 1091094, Managing the loan or lease, 
 Student loan, 1075995, Dealing with my lender or servicer, 
 Debt collection, 1073398, Disclosure verification of debt, 
 Student loan, 1073107, Dealing with my lender or servicer, 
 Credit reporting, 1069618, Incorrect information on credit report, 
 Credit reporting, 1059212, Unable to get credit report/credit score, 
 Credit reporting, 1053409, Unable to get credit report/credit score, 
 Student loan, 1043240, Can't repay my loan, 
 Payday loan, 1043269, Received a loan I didn't apply for, 
 Payday loan, 1039284, Charged fees or interest I didn't expect, 
 Debt collection, 1034758, Disclosure verification of debt, 
 Credit card, 1035887, Billing disputes, 
 Bank account or service, 1032492, Deposits and withdrawals, 
 Student loan, 1032091, Can't repay my loan, 
 Credit reporting, 1021479, Incorrect information on credit report, 
 Credit reporting, 1021478, Incorrect information on credit report, 
 Credit reporting, 1021477, Incorrect information on credit report, 
 Student loan, 1013952, Dealing with my lender or servicer, 
 Credit reporting, 1012904, Incorrect information on credit report, 
 Credit reporting, 1012903, Incorrect information on credit report, 
 Credit reporting, 1012902, Incorrect information on credit report, 
 Debt collection, 1010762, Cont'd attempts collect debt not owed, 
 Student loan, 1007783, Dealing with my lender or servicer, 
 Credit reporting, 998468, Unable to get credit report/credit score, 
 Debt collection, 997299, Communication tactics, 
 Debt collection, 998363, Cont'd attempts collect debt not owed, 
 Credit card, 994190, Billing statement, 
 Debt collection, 982814, Cont'd attempts collect debt not owed, 
 Debt collection, 982813, Cont'd attempts collect debt not owed, 
 Bank account or service, 964192, Problems caused by my funds being low, 
 Debt collection, 958141, False statements or representation, 
 Debt collection, 947738, Improper contact or sharing of info, 
 Mortgage, 945386, Settlement process and costs, 
 Credit card, 947509, Billing statement, 
 Credit reporting, 936983, Credit monitoring or identity protection, 
 Debt collection, 923930, Disclosure verification of debt, 
 Credit reporting, 917296, Incorrect information on credit report, 
 Debt collection, 905314, Communication tactics, 
 Debt collection, 890995, Communication tactics, 
 Credit reporting, 889378, Incorrect information on credit report, 
 Credit reporting, 889377, Incorrect information on credit report, 
 Credit reporting, 889376, Incorrect information on credit report, 
 Debt collection, 883671, Improper contact or sharing of info, 
 Credit card, 885262, Late fee, 
 Debt collection, 884079, Communication tactics, 
 Credit reporting, 881768, Incorrect information on credit report, 
 Credit reporting, 881767, Incorrect information on credit report, 
 Credit reporting, 881847, Incorrect information on credit report, 
 Debt collection, 877349, Improper contact or sharing of info, 
 Credit reporting, 876311, Incorrect information on credit report, 
 Credit reporting, 870414, Incorrect information on credit report, 
 Credit reporting, 870413, Incorrect information on credit report, 
 Credit reporting, 870415, Incorrect information on credit report, 
 Credit reporting, 865840, Incorrect information on credit report, 
 Credit reporting, 856146, Incorrect information on credit report, 
 Credit reporting, 856143, Incorrect information on credit report, 
 Credit reporting, 856145, Incorrect information on credit report, 
 Credit reporting, 856707, Incorrect information on credit report, 
 Credit reporting, 856708, Incorrect information on credit report, 
 Credit reporting, 856709, Incorrect information on credit report, 
 Credit reporting, 849750, Incorrect information on credit report, 
 Credit reporting, 849852, Credit reporting company's investigation, 
 Debt collection, 846749, Cont'd attempts collect debt not owed, 
 Debt collection, 844819, Disclosure verification of debt, 
 Credit card, 828592, Customer service / Customer relations, 
 Credit card, 826927, Billing disputes, 
 Debt collection, 821399, Cont'd attempts collect debt not owed, 
 Credit reporting, 814946, Incorrect information on credit report, 
 Debt collection, 811909, Communication tactics, 
 Debt collection, 803690, Disclosure verification of debt, 
 Credit reporting, 786104, Unable to get credit report/credit score, 
 Debt collection, 781068, Taking/threatening an illegal action, 
 Student loan, 776518, Dealing with my lender or servicer, 
 Debt collection, 773606, Cont'd attempts collect debt not owed, 
 Debt collection, 772174, Cont'd attempts collect debt not owed, 
 Consumer loan, 763590, Problems when you are unable to pay, 
 Credit reporting, 768233, Incorrect information on credit report, 
 Mortgage, 759205, Settlement process and costs, 
 Debt collection, 767174, Cont'd attempts collect debt not owed, 
 Payday loan, 753649, Charged fees or interest I didn't expect, 
 Credit card, 737792, Billing disputes, 
 Debt collection, 734264, Communication tactics, 
 Debt collection, 734557, Cont'd attempts collect debt not owed, 
 Credit reporting, 729196, Incorrect information on credit report, 
 Credit reporting, 715795, Incorrect information on credit report, 
 Debt collection, 713132, Communication tactics, 
 Student loan, 708833, Dealing with my lender or servicer, 
 Credit reporting, 705798, Incorrect information on credit report, 
 Credit reporting, 705797, Incorrect information on credit report, 
 Credit reporting, 707784, Credit reporting company's investigation, 
 Credit reporting, 707781, Credit reporting company's investigation, 
 Credit reporting, 707780, Credit reporting company's investigation, 
 Credit reporting, 707779, Credit reporting company's investigation, 
 Debt collection, 707777, Disclosure verification of debt, 
 Credit reporting, 707786, Credit reporting company's investigation, 
 Credit reporting, 707785, Credit reporting company's investigation, 
 Debt collection, 705725, Cont'd attempts collect debt not owed, 
 Debt collection, 693832, Improper contact or sharing of info, 
 Debt collection, 685806, Disclosure verification of debt, 
 Debt collection, 685805, Disclosure verification of debt, 
 Debt collection, 685776, Cont'd attempts collect debt not owed, 
 Debt collection, 685774, Disclosure verification of debt, 
 Debt collection, 685771, Communication tactics, 
 Debt collection, 685773, Disclosure verification of debt, 
 Payday loan, 676230, Can't stop charges to bank account, 
 Debt collection, 668401, Cont'd attempts collect debt not owed, 
 Consumer loan, 670074, Managing the line of credit, 
 Debt collection, 664672, Improper contact or sharing of info, 
 Bank account or service, 661884, Deposits and withdrawals, 
 Debt collection, 651171, False statements or representation, 
 Credit card, 640745, Closing/Cancelling account, 
 Debt collection, 636625, Communication tactics, 
 Debt collection, 632904, Improper contact or sharing of info, 
 Credit card, 614722, Delinquent account, 
 Credit reporting, 614844, Incorrect information on credit report, 
 Credit reporting, 609723, Unable to get credit report/credit score, 
 Debt collection, 605713, Cont'd attempts collect debt not owed, 
 Money transfers, 598725, Other transaction issues, 
 Debt collection, 573128, Cont'd attempts collect debt not owed, 
 Student loan, 550625, Repaying your loan, 
 Student loan, 547540, Repaying your loan, 
 Mortgage, 549235, Settlement process and costs, 
 Debt collection, 533099, Communication tactics, 
 Debt collection, 533100, Communication tactics, 
 Bank account or service, 531665, Deposits and withdrawals, 
 Bank account or service, 531664, Using a debit or ATM card, 
 Credit reporting, 524840, Incorrect information on credit report, 
 Bank account or service, 524075, Deposits and withdrawals, 
 Credit reporting, 513654, Incorrect information on credit report, 
 Credit reporting, 513653, Incorrect information on credit report, 
 Debt collection, 513651, Disclosure verification of debt, 
 Credit reporting, 513650, Incorrect information on credit report, 
 Credit card, 510741, Closing/Cancelling account, 
 Debt collection, 469501, Communication tactics, 
 Credit reporting, 456886, Incorrect information on credit report, 
 Debt collection, 456885, Improper contact or sharing of info, 
 Bank account or service, 460398, Using a debit or ATM card, 
 Credit reporting, 456884, Incorrect information on credit report, 
 Debt collection, 453691, Cont'd attempts collect debt not owed, 
 Credit card, 435136, Billing disputes, 
 Consumer loan, 435365, Shopping for a loan or lease, 
 Mortgage, 427448, Credit decision / Underwriting, 
 Credit reporting, 407790, Incorrect information on credit report, 
 Credit card, 408034, APR or interest rate, 
 Consumer loan, 401627, Problems when you are unable to pay, 
 Student loan, 400214, Repaying your loan, 
 Mortgage, 400447, Settlement process and costs, 
 Credit card, 398362, Advertising and marketing, 
 Credit reporting, 398985, Incorrect information on credit report, 
 Consumer loan, 390150, Account terms and changes, 
 Credit reporting, 374604, Incorrect information on credit report, 
 Credit reporting, 374601, Incorrect information on credit report, 
 Credit reporting, 374607, Incorrect information on credit report, 
 Credit reporting, 374608, Incorrect information on credit report, 
 Credit reporting, 374606, Incorrect information on credit report, 
 Credit reporting, 373577, Credit reporting company's investigation, 
 Consumer loan, 372771, Problems when you are unable to pay, 
 Credit reporting, 373686, Credit reporting company's investigation, 
 Credit card, 369895, Billing disputes, 
 Credit card, 366292, Billing disputes, 
 Credit reporting, 352574, Incorrect information on credit report, 
 Credit card, 335540, Transaction issue, 
